"id"	"sbs_class"	"sbs_meaning"	"sbs_notes"	"sbs_source_1"	"sbs_sutta_1"	"sbs_example_1"	"sbs_chant_pali_1"	"sbs_chant_eng_1"	"sbs_chapter_1"	"sbs_source_2"	"sbs_sutta_2"	"sbs_example_2"	"sbs_chant_pali_2"	"sbs_chant_eng_2"	"sbs_chapter_2"	"dhp_source"	"dhp_sutta"	"dhp_example"	"pat_source"	"pat_sutta"	"pat_example"	"vib_source"	"vib_sutta"	"vib_example"	"class_source"	"class_sutta"	"class_example"	"class_example_translation"	"class_extra"	"class_anki"	"discourses_source"	"discourses_sutta"	"discourses_example"	"extra_source"	"extra_sutta"	"extra_example"	"sbs_index"
"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" "	""	""	""	""	""	""	""	""
"5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"DHP408"	"brāhmaṇavaggo"	"<b>akakkasaṃ</b> viññāpaniṃ,
giraṃ saccam'udīraye,
yāya n'ābhisaje kañci,
tam'ahaṃ brūmi brāhmaṇaṃ."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"DHP390"	"brāhmaṇavaggo"	"na brāhmaṇass'etad<b>akiñci</b> seyyo,
yadā nisedho manaso piyehi,
yato yato hiṃsamano nivattati,
tato tato sammati'm'eva dukkhaṃ."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"13"	"11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"VIN PAT PC 69"	"ukkhittasambhogasikkhāpadaṃ"	"yo pana bhikkhu jānaṃ tathāvādinā bhikkhunā <b>akaṭ</b>'ānudhammena taṃ diṭṭhiṃ appaṭinissaṭṭhena saddhiṃ sambhuñjeyya vā saṃvaseyya vā saha vā seyyaṃ kappeyya, pācittiyaṃ."	"VIN2.5.7.9"	"ukkhittasambhogasikkhāpadaṃ"	"<b>akaṭ</b>'ānudhammo nāma ukkhitto anosārito."	""	""	""	""	""	""	""	""	""	"VIN2.5.7.9"	"ukkhittasambhogasikkhāpadaṃ"	"<b>akaṭ</b>'ānudhammo nāma ukkhitto anosārito."	""
"18"	"19"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"VIN PAT PC 69"	"ukkhittasambhogasikkhāpadaṃ"	"yo pana bhikkhu jānaṃ tathāvādinā bhikkhunā <b>akaṭ'ānudhammena</b> taṃ diṭṭhiṃ appaṭinissaṭṭhena saddhiṃ sambhuñjeyya vā saṃvaseyya vā saha vā seyyaṃ kappeyya, pācittiyaṃ."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"11"	""	""	"SN2.8"	"tāyanasuttaṃ"	"<b>akataṃ</b> dukkaṭaṃ seyyo,
pacchā tappati dukkaṭaṃ,
katañ'ca sukataṃ seyyo,
yaṃ katvā n'ānutappati."	"Tāyana-gāthā"	"On Protection"	"Verses"	""	""	""	""	""	""	"DHP314"	"nirayavaggo"	"<b>akataṃ</b> dukkaṭaṃ seyyo,
pacchā tappati dukkaṭaṃ,
katañ'ca sukataṃ seyyo,
yaṃ katvā n'ānutappati."	""	""	""	""	""	""	"AN5.140"	"sotasuttaṃ"	"idha, bhikkhave, rañño nāgo yam'enaṃ hatthidammasārathi kāraṇaṃ kāreti, yadi vā katapubbaṃ yadi vā <b>akata</b>pubbaṃ, taṃ aṭṭhiṃ katvā manasi katvā sabbaṃ cetasā samannāharitvā ohitasoto suṇāti."	"Here, monks, a king's bull elephant to whichever task the elephant trainer has him perform, whether [it] has been previously done or not previously done, having focused and paid attention on that (task), having concentrated completely with the mind, he listens with applied ear."	"extra"	"18"	""	""	""	"AN5.140"	"sotasuttaṃ"	"idha, bhikkhave, rañño nāgo yam'enaṃ hatthidammasārathi kāraṇaṃ kāreti, yadi vā katapubbaṃ yadi vā <b>akata</b>pubbaṃ, taṃ aṭṭhiṃ katvā manasi katvā sabbaṃ cetasā samannāharitvā ohitasoto suṇāti."	"15"
"33"	"11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"UD73"	"tatiya nibbāna paṭisaṃyuttasuttaṃ"	"atthi bhikkhave ajātaṃ abhūtaṃ <b>akataṃ</b> asaṅkhataṃ"	"Monks, there is [something] not born, not become, not made, not constructed/unconditioned."	""	"11"	""	""	""	"UD73"	"tatiya nibbāna paṭisaṃyuttasuttaṃ"	"atthi, bhikkhave, ajātaṃ abhūtaṃ <b>akataṃ</b> asaṅkhataṃ"	""
"34"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"DHP50"	"pupphavaggo"	"na paresaṃ vilomāni,
na paresaṃ kata-<b>akataṃ</b>,
attano'va avekkheyya,
katāni <b>akatāni</b> ca."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
