"id"	"ta_meaning"
"1"	"(இலக்கணம்) அரே; அத்தியாயத்தின் முதல் எழுத்து; ஒலியூட்டும் உவெஸ்சப்பை"
"2"	"ā முன்னெழுத்து இரட்டைக் கன்னத்தின் முன்னால் குறைக்கப்பட்டுள்ளது"
"3"	"சேர் சேர்க்கப்பட்ட சில அகவுலிகள்(இலக்கணம்), குறுந்தொடர்கள்(இலக்கணம்) மற்றும் நிபந்தனையாக்கம்(இலக்கணம்) ஆகியவை"
"4"	"இல்லை; எதிர்மறை; திறமையைக் குறிக்கும் முன்னுரை"
"5"	"(இலக்கணம்) குழு 1 பூ குழு கிரியைகளின் சங்கலனமான சின்னம்"
"7"	"மென்மையான, கொட்டுப்பான, கடுமையான அல்லாத, யாதார்த்தமான அல்லாத"
"8"	"சந்தேகம் இல்லாத, அறியாமை நீக்கப்பட்ட"
"9"	"ஆவிகளைப் பற்றிய விடுபட்ட, காமங்களில் ஆர்வமில்லாத, திறம் பெற்ற, உள்ளங்கை இல்லாத, ஆசைகள் இல்லாத"
"10"	"இதமில்லாத, சந்தேகம் இல்லாத, உறுதியான, உறுதி செய்யும்"
"11"	"எது இல்லையென்று; எழுத்து மூலம்: எது ஒன்றுமில்லை"
"12"	"கேள்விக்குறியீடாக வராது, உரையாடப்பட வேண்டும்; உரையாட கூடாது; உரையாட தகுதியானவன் அல்ல"
"13"	"செய்யாத, ஆற்றாத, நடிக்காத"
"14"	"செய்யப்படாத; உருவாகாத; சீரமைக்கப்படாத"
"16"	"சூடிய பருப்பு சூப்; பருப்பு காய்ச்சி"
"17"	"உற்பத்தியால் வரவில்லை, உருவாக்கப்படவில்லை"
"18"	"சட்ட நடவடிக்கையை முடிக்காத, விதிமுறைக்கு ஏற்ப பரிசீலிக்காத"
"19"	"வழுக்காத மண், கல்லீரல் வளர்ச்சியால் "
"20"	"அறுக்குத் தேயிச் சோளத்தின் தோற்றம்"
"22"	"அச்சு இல்லாத, வருத்தி எடுக்கப்பட்ட,"
"23"	"கறையற்ற, மச்கரையற்ற"
"24"	"பிரச்சினையற்ற பகுதி; மாசுபடாத பகுதி"
"25"	"குடிப்பதற்கான தடையில்லாத, பாதிப்பு இல்லாத, முக்கோணங்களாகக் கிடையாது"
"26"	"எதிர்ப்புமில்லாமல் மற்றும் கவலையில்லாமல்; செங்குத்துகளில்லாமல் மற்றும் செங்குத்தில்விட இல்லாத"
"27"	"கருப்பான, மோசமான, எதிர்மறையான"
"28"	"சோமல் அல்ல, வெள்ளை அல்ல; நல்லது அல்ல,க்கெட்டது அல்ல"
"29"	"பாதக அல்லது நல்ல விளைவுகளைத் எடுத்துக்காட்டாமல்; சாதக அல்லது தீமையான விளைவுகளைத் தராது"
"30"	"கெட்ட முடிவுகளும் நல்ல முடிவ்களும் இல்லாத; நேர்மறை மற்றும் எதிர்மறை விளைவுகளும் இல்லாத"
"31"	"கெட்ட பயன்களும் நல்ல பயன்களும் இல்லாத நிலை; நேர்மறை விளைவுகளும் எதிர்மறை விளைவுகளும் இல்லாத நிலை; ஆகையால், கறுப்பும் வெள்ளையும் இல்லாத விளைவுகளின் நிலை"
"32"	"செய்யப்படாத, நிறைவேற்றப்படாத, நடக்கப்படாத"
"33"	"உருக்கப்படாத; உருவாக்கப்படாத"
"34"	"செய்யாதது; செய்யப்படாத நடவடிக்கை; செய்யப்படாத செயல்; சர்ச்சைமயமாகச் சொல்லப்படும் நடத்தப்படாதது"
"35"	"பொம்மை ஒழுங்கு செய்யப்படாத, வடிவமிடப்படாத, உருவாக்கப்படாத"
"36"	"இருப்பதற்கு அனுமதிக்கப்படாத,  விணயத்திற்கேற்ப உருவாக்கப்படாத"
"37"	"திருட்டு செய்யாத, குற்றம் செய்யாத, நிகரான இல்லை செயல்படுத்திய"
"38"	"நல்ல செயல்களை செய்யாத, கடினத்தன்மையில்லாத, மேற்கொண்டு வருபவன், குற்றம் செய்யாத, பயத்தின்மீது உயர்வான"
"39"	"அழுக்கான செயல்கள் செய்யாத, குற்றம் செய்யாத, தீமையைச் செய்யாத"
"40"	"நல்லது செய்யாத, தர்மம் செய்யாத"
"42"	"நன்றி அறியாமல் இருப்பு; நன்றி இல்லை; நன்றி இல்லாத நிலை"
"43"	"மறவாதம்; நன்றி மறுத்தல்; கௌரவம் இல்லாமல் இருப்பது"
"46"	"அக்குரூபமற்ற, நன்றி சொல்லாமல், மதிப்பீடு செய்யாத, விளாசுவதாக ஆகாதது."
"47"	"உள்நிலை அறியாத, பிறவிக்கொண்்ட இல்லாததை அறிந்த; பிறவியற்று உள்ளவற்றைப் புரிந்த"
"48"	"முடியாதவாறு; செய்யப்படாதவாறு"
"49"	"செய்யப்படாத நிலை; செயல் இல்லாதது"
"50"	"செய்யப்படாத நிலை; செய்தால் செய்யப்படாதது"
"51"	"தீங்கில்லாத, கெட்டவண்ணம் செய்யாத, பகைப்படுத்தாத, பாவம் செய்யாத"
"52"	"பணத்தை பெறாத, ஆன்மீக செல்வத்தை அடையாத"
"53"	"மரியாதை செய்யாதமை; ஆன்மிக வளங்கள் இல்லாதமை; முழுக்கவே மரியாதை செய்யாத நிலை"
"54"	"முன்னணி செய்யப்படாத, முன்பு செய்யப்படாத"
"55"	"பெயரிடம் அஞ்சாத; பயத்திற்கெதிரான பாதுகாப்பை செய்யாத; (வணக்கம்) பயப்படுவோருக்கு பாதுகாப்பு அளிக்காத"
"56"	"பயன்படுத்தப்படாத நிலம்"
"58"	"அடைமையற்ற, பயிற்சி செய்யாத, பயிற்றுவிக்கப்பட்ட இல்லாத, வெளியில் பயிற்சி செய்யாத"
"59"	"வறுமையில்லாத, பாதகத்தொடுத்ததில்லாத"
"60"	"உறவுகளை மீண்டும் ஓர் நட்பான முறையில் நிறுவாதவர்; வெளியில் நட்பு இல்லாதவர்"
"61"	"கடமைமின்மை; மின்மை; நன்றி கூறாத நிலை; பாராட்டாத நிலை; அர்த்தம் இல்லாத நிலை"
"62"	"நன்றி மறந்த, பரிசுகளை மதிக்காத, என்ன நடந்தது என்பதைப் புரிந்து கொள்ளாத"
"63"	"சாதாரண, திறமையற்ற, பயிற்சியின்றி, திறமையற்றாத, உண்மையில் உருவாக்கப்படாத கைகள்"
"64"	"பங்கேற்பின்மை கொண்ட, யாரும் உபோசதத்தில் பங்குபெறாத"
"65"	"செய்யப்படாத இலக்கு பயிற்சி; நிறைவான மில்லிட்டரி பயிற்சி ஆகாத"
"67"	"செய்வது கருதாத, செய்ய விரும்பாத"
"68"	"நீங்கள் எல்லாம் செய்தீர்கள்; நீங்கள் எல்லாம் உருவாக்கினீர்கள்"
"69"	"மகிழ்ச்சியை வெளிப்படுத்தாத, தன்னை நன்றாகச் சொல்லாத (பிறகு)"
"70"	"செல்லாத, செய்து முடிக்காத, நிகழாத, செயல்படுத்தாத"
"71"	"செய்யாத பிறகு"
"73"	"கண் குழப்பம் இல்லாத, சந்தேகம் இல்லாத(பற்றி), அளவுகோலாக கேளாமல்"
"74"	"கலந்துபடியாத, சந்தேகம் இல்லாத (பற்றி), வரலாறு கேட்பதும் இல்லை"
