id,pali,selected_pali_word,sutta_number,sutta_name,class_example
38108,nirodhanissita,nirodhanissitaṃ,sn46.1,himavantasuttaṃ,"idha, bhikkhave, bhikkhu satisambojjh'aṅgaṃ bhāveti vivekanissitaṃ virāganissitaṃ <b>nirodhanissitaṃ</b> vossaggapariṇāmiṃ, dhammavicayasambojjh'aṅgaṃ bhāveti"
43444,pariṇāmī,pariṇāmiṃ,sn46.1,himavantasuttaṃ,"idha, bhikkhave, bhikkhu satisambojjh'aṅgaṃ bhāveti vivekanissitaṃ virāganissitaṃ nirodhanissitaṃ vossagga<b>pariṇāmiṃ</b>, dhammavicayasambojjh'aṅgaṃ bhāveti"
49822,bhāvayanta,bhāvento,sn46.1,himavantasuttaṃ,"evam'eva kho, bhikkhave, bhikkhu sīlaṃ nissāya sīle patiṭṭhāya satta bojjh'aṅge <b>bhāvento</b> satta bojjh'aṅge bahulīkaronto mahantattaṃ vepullattaṃ pāpuṇāti dhammesu."
59670,samādhisambojjhaṅga,samādhisambojjhaṅgaṃ,sn46.1,himavantasuttaṃ,"<b>samādhisambojjhaṅgaṃ</b> bhāveti vivekanissitaṃ virāganissitaṃ nirodhanissitaṃ vossaggapariṇāmiṃ,"
68879,virāganissita,virāganissitaṃ,sn46.1,himavantasuttaṃ,"idha, bhikkhave, bhikkhu satisambojjh'aṅgaṃ bhāveti vivekanissitaṃ <b>virāganissitaṃ</b> nirodhanissitaṃ vossaggapariṇāmiṃ, dhammavicayasambojjh'aṅgaṃ bhāveti"
69618,vivekanissita,vivekanissitaṃ,sn46.1,himavantasuttaṃ,"idha, bhikkhave, bhikkhu satisambojjh'aṅgaṃ bhāveti <b>vivekanissitaṃ</b> virāganissitaṃ nirodhanissitaṃ vossaggapariṇāmiṃ, dhammavicayasambojjh'aṅgaṃ bhāveti"
70643,vossagga 2,,sn46.1,himavantasuttaṃ,"idha, bhikkhave, bhikkhu satisambojjh'aṅgaṃ bhāveti vivekanissitaṃ virāganissitaṃ nirodhanissitaṃ <b>vossagga</b>pariṇāmiṃ, dhammavicayasambojjh'aṅgaṃ bhāveti"
70644,vossaggapariṇāmī,vossaggapariṇāmiṃ,sn46.1,himavantasuttaṃ,"idha, bhikkhave, bhikkhu satisambojjh'aṅgaṃ bhāveti vivekanissitaṃ virāganissitaṃ nirodhanissitaṃ <b>vossaggapariṇāmiṃ</b>, dhammavicayasambojjh'aṅgaṃ bhāveti"
3849,anavajja 1,anavajjā,sn46.2,kāyasuttaṃ,"atthi, bhikkhave, kusal'ākusalā dhammā, sāvajj'<b>ānavajjā</b> dhammā, hīnapaṇītā dhammā, kaṇhasukkasappaṭibhāgā dhammā."
8881,arati 1,arati,sn46.2,kāyasuttaṃ,"atthi, bhikkhave, <b>arati</b> tandi vijambhitā bhattasammado cetaso ca līnattaṃ."
12407,ārambha 1.1,,sn46.2,kāyasuttaṃ,"atthi, bhikkhave, <b>ārambha</b>dhātu nikkamadhātu parakkamadhātu."
12414,ārambhadhātu,ārambhadhātu,sn46.2,kāyasuttaṃ,"atthi, bhikkhave, <b>ārambhadhātu</b> nikkamadhātu parakkamadhātu."
20982,kāmacchanda,kāmacchandassa,sn46.2,kāyasuttaṃ,"ko ca, bhikkhave, āhāro anuppannassa vā <b>kāmacchandassa</b> uppādāya, uppannassa vā kāmacchandassa bhiyyobhāvāya vepullāya?"
29898,tandī,tandi,sn46.2,kāyasuttaṃ,"atthi, bhikkhave, arati <b>tandi</b> vijambhitā bhattasammado cetaso ca līnattaṃ."
36731,nikkamadhātu,nikkamadhātu,sn46.2,kāyasuttaṃ,"atthi, bhikkhave, ārambhadhātu <b>nikkamadhātu</b> parakkamadhātu."
42877,parakkamadhātu,parakkamadhātu,sn46.2,kāyasuttaṃ,"atthi, bhikkhave, ārambhadhātu nikkamadhātu <b>parakkamadhātu</b>."
45799,pāripūri 1,pāripūriyā,sn46.2,kāyasuttaṃ,"tattha yonisomanasikārabahulīkāro, ayam'āhāro anuppannassa vā satisambojjh'aṅgassa uppādāya, uppannassa vā satisambojjh'aṅgassa bhāvanāya <b>pāripūriyā</b>."
49304,bhattasammada,bhattasammado,sn46.2,kāyasuttaṃ,"atthi, bhikkhave, arati tandi vijambhitā <b>bhattasammado</b> cetaso ca līnattaṃ."
54321,yonisomanasikāra,,sn46.2,kāyasuttaṃ,"tattha <b>yonisomanasikāra</b>bahulīkāro, ayam'āhāro anuppannassa vā satisambojjh'aṅgassa uppādāya, uppannassa vā satisambojjh'aṅgassa bhāvanāya pāripūriyā."
60728,sammada 1,,sn46.2,kāyasuttaṃ,"atthi, bhikkhave, arati tandi vijambhitā bhatta<b>sammado</b> cetaso ca līnattaṃ."
64207,subha 1,,sn46.2,kāyasuttaṃ,"atthi, bhikkhave, <b>subha</b>nimittaṃ."
67414,vicaya,,sn46.2,kāyasuttaṃ,"ko ca, bhikkhave, āhāro anuppannassa vā dhamma<b>vicaya</b>sambojjh'aṅgassa uppādāya, uppannassa vā dhamma<b>vicaya</b>sambojjh'aṅgassa bhāvanāya pāripūriyā?"
67551,vijambhitā,vijambhitā,sn46.2,kāyasuttaṃ,"atthi, bhikkhave, arati tandi <b>vijambhitā</b> bhattasammado cetaso ca līnattaṃ."
49804,bhāvanāpāripūri,bhāvanāpāripūriṃ,sn46.3,sīlasuttaṃ,"yasmiṃ samaye, bhikkhave, bhikkhu tathā vūpakaṭṭho viharanto taṃ dhammaṃ anussarati anuvitakketi, satisambojjh'aṅgo tasmiṃ samaye bhikkhuno āraddho hoti, satisambojjh'aṅgaṃ tasmiṃ samaye bhikkhu bhāveti, satisambojjh'aṅgo tasmiṃ samaye bhikkhuno <b>bhāvanāpāripūriṃ</b> gacchati."
10551,avijjāsava,avijj'āsavā,sn46.5,bhikkhusuttaṃ,"tass'ime satta bojjh'aṅge bhāvayato kām'āsavā'pi cittaṃ vimuccati, bhav'āsavā'pi cittaṃ vimuccati, <b>avijj'āsavā</b>'pi cittaṃ vimuccati."
21094,kāmāsava,kām'āsavā,sn46.5,bhikkhusuttaṃ,"tass'ime satta bojjh'aṅge bhāvayato <b>kām'āsavā</b>'pi cittaṃ vimuccati, bhav'āsavā'pi cittaṃ vimuccati, avijj'āsavā'pi cittaṃ vimuccati."
30188,tassime,tass'ime,sn46.5,bhikkhusuttaṃ,"<b>tass'ime</b> satta bojjh'aṅge bhāvayato kām'āsavā'pi cittaṃ vimuccati, bhav'āsavā'pi cittaṃ vimuccati, avijj'āsavā'pi cittaṃ vimuccati."
49613,bhavāsava,bhav'āsavā,sn46.5,bhikkhusuttaṃ,"tass'ime satta bojjh'aṅge bhāvayato kām'āsavā'pi cittaṃ vimuccati, <b>bhav'āsavā</b>'pi cittaṃ vimuccati, avijj'āsavā'pi cittaṃ vimuccati."
