id,pali,selected_pali_word,word in context,pos,meaning,sutta_number,sutta_name,class_example,match status
1536,aññatra 2,,aññatra,ind,apart (from); aside (from); other (than); except (for); without,sn22.82,puṇṇamasuttaṃ,"taññeva nu kho, bhante, upādānaṃ te pañcupādānakkhandhā udāhu <b>aññatra</b> pañcahi upādānakkhandhehi upādānanti?",Similar
5217,anusaya,,,masc,underlying tendency (to); inherent inclination (to); dormant disposition (towards); propensity (to),sn12.15,kaccānagottasuttaṃ,"tañcāyaṃ upayupādānaṃ cetaso adhiṭṭhānaṃ abhinive<b>sānusayaṃ</b> na upeti na upādiyati nādhiṭṭhāti, attā meti.",Similar
6957,appamatta 1.1,,appamatto,pp,diligent (in); vigilant (about); careful (about); attentive (to),sn22.63,upādiyamānasuttaṃ,"ekamantaṃ nisinno kho so bhikkhu bhagavantaṃ etadavoca, sādhu me, bhante, bhagavā saṃkhittena dhammaṃ desetu yamahaṃ bhagavato dhammaṃ sutvā eko vūpakaṭṭho <b>appamatto</b> ātāpī pahitatto vihareyyanti.",Similar
2598,attha 1.2,,,masc,benefit; profit; good; welfare,sn56.7,vitakkasuttaṃ,"ete, bhikkhave, vitakkā <b>attha</b>saṃhitā ete ādibrahmacariyakā ete nibbidāya virāgāya nirodhāya upasamāya abhiññāya sambodhāya nibbānāya saṃvattanti.",Similar
2741,atthika 2.1,,,adj,wanting; in need (of); desiring; seeking,sn22.95,pheṇapiṇḍūpamasuttaṃ,"seyyathāpi, bhikkhave, puriso s<b>āratthiko</b> sāragavesī sārapariyesanaṃ caramāno tiṇhaṃ kuṭhāriṃ ādāya vanaṃ paviseyya.",Similar
49722,bhāra 1,,,masc,burden; load; weight,sn47.4,sālasuttaṃ,"yepi te, bhikkhave, bhikkhū arahanto khīṇāsavā vusitavanto katakaraṇīyā ohita<b>bhārā</b> anuppattasadatthā parikkhīṇabhavasaṃyojanā sammadaññā vimuttā, tepi kāye kāyānupassino viharanti ātāpino sampajānā ekodibhūtā vippasannacittā samāhitā ekaggacittā, kāyena visaṃyuttā, vedanāsu vedanānupassino viharanti ātāpino sampajānā ekodibhūtā vippasannacittā samāhitā ekaggacittā, vedanāhi visaṃyuttā, citte cittānupassino viharanti ātāpino sampajānā ekodibhūtā vippasannacittā samāhitā ekaggacittā, cittena visaṃyuttā, dhammesu dhammānupassino viharanti ātāpino sampajānā ekodibhūtā vippasannacittā samāhitā ekaggacittā, dhammehi visaṃyuttā.",Similar
49433,bhaya 2,,bhayaṃ,nt,fear (of); terror (of); fright; dismay,sn12.41,pañcaverabhayasuttaṃ,"yaṃ, gahapati, pāṇātipātī pāṇātipātapaccayā diṭṭhadhammikampi <b>bhayaṃ</b> veraṃ pasavati, samparāyikampi <b>bhayaṃ</b> veraṃ pasavati, cetasikampi dukkhaṃ domanassaṃ paṭisaṃvedayati, pāṇātipātā paṭiviratassa evaṃ taṃ <b>bhayaṃ</b> veraṃ vūpasantaṃ hoti.",Similar
50038,bhīta 1,,bhītā,pp,afraid (of); frightened (by); terrified (of),sn22.78,sīhasuttaṃ,"yepi te, bhikkhave, rañño nāgā gāmanigamarājadhānīsu, daḷhehi varattehi baddhā, tepi tāni bandhanāni sañchinditvā sampadāletvā <b>bhītā</b> muttakarīsaṃ cajamānā, yena vā tena vā palāyanti.",Similar
26262,caraṇa 1.1,,,nt,behaviour; conduct; (theory and) practice,sn12.41,pañcaverabhayasuttaṃ,"idha, gahapati, ariyasāvako buddhe aveccappasādena samannāgato hoti, itipi so bhagavā arahaṃ sammāsambuddho vijjā<b>caraṇa</b>sampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṃ buddho bhagavāti.",Similar
32108,dassana 3,dassanaṃ,dassanaṃ,nt,insight; realization; spiritual vision,sn22.26,assādasuttaṃ,"ñāṇañca pana me <b>dassanaṃ</b> udapādi, akuppā me vimutti, ayamantimā jāti, natthi dāni punabbhavoti.",Similar
18077,evamassa 1,evamassa,evamassa,sandhi,he would (think) thus; this would occur to him,sn12.66,sammasasuttaṃ,"atha kho, bhikkhave, tassa purisassa <b>evamassa</b>, sakkā kho me ayaṃ surāpipāsitā pānīyena vā vinetuṃ dadhimaṇḍakena vā vinetuṃ bhaṭṭhaloṇikāya vā vinetuṃ loṇasovīrakena vā vinetuṃ, na tvevāhaṃ taṃ piveyyaṃ, yaṃ mama assa dīgharattaṃ hitāya sukhāyāti.",Similar
24045,gacchanta,gacchanto,,prp,going; walking; travelling,sn12.65,nagarasuttaṃ,tamanu<b>gacchanto</b> passeyya purāṇaṃ nagaraṃ purāṇaṃ rājadhāniṃ pubbakehi manussehi ajjhāvuṭṭhaṃ ārāmasampannaṃ vanasampannaṃ pokkharaṇīsampannaṃ uddhāpavantaṃ ramaṇīyaṃ.,Similar
24450,gambhīra 1,gambhīre,gambhīre,adj,deep,sn35.230,bāḷisikopamasuttaṃ,"seyyathāpi, bhikkhave, bāḷisiko āmisagatabaḷisaṃ <b>gambhīre</b> udakarahade pakkhipeyya.",Similar
13715,idhekacca,idhekacce,,pron,here one; here a certain; in this case some; some people here,sn35.118,sakkapañhasuttaṃ,"ko nu kho, bhante, hetu, ko paccayo yenam<b>idhekacce</b> sattā diṭṭheva dhamme no parinibbāyanti?",Similar
