id,pali,pos,meaning,sutta_number,sutta_name,class_example,selected_pali_word,match status
12746,āsaṅga,masc,robe; cloak,sn22.82,puṇṇamasuttaṃ,atha kho aññataro bhikkhu uṭṭhāyāsanā ekaṃsaṃ uttar<b>āsaṅgaṃ</b> karitvā yena bhagavā tenañjaliṃ paṇāmetvā bhagavantaṃ etadavoca.,,Similar
26791,cirasseva,sandhi,after a very long time,sn22.63,upādiyamānasuttaṃ,"atha kho so bhikkhu eko vūpakaṭṭho appamatto ātāpī pahitatto viharanto na<b>cirasseva</b>, yassatthāya kulaputtā sammadeva agārasmā anagāriyaṃ pabbajanti tadanuttaraṃ, brahmacariyapariyosānaṃ diṭṭheva dhamme sayaṃ abhiññā sacchikatvā upasampajja viharati.",cirasseva,Similar
31974,damma 1.1,ptp,able to be tamed; fit to be trained; tameable; trainable,mn107,gaṇakamoggallānasuttaṃ,"evameva kho, brāhmaṇa, tathāgato purisa<b>dammaṃ</b> labhitvā paṭhamaṃ evaṃ vineti,",damma,Similar
35086,dhānī,fem,seat; capital,sn22.78,sīhasuttaṃ,"yepi te, bhikkhave, rañño nāgā gāmanigamarāja<b>dhānīsu</b>, daḷhehi varattehi baddhā, tepi tāni bandhanāni sañchinditvā sampadāletvā bhītā muttakarīsaṃ cajamānā, yena vā tena vā palāyanti.",,Similar
25530,ghara 1,nt,house; home; household,sn56.44,kūṭāgārasuttaṃ,"seyyathāpi, bhikkhave, yo evaṃ vadeyya, ahaṃ kūṭāgārassa heṭṭhimaṃ <b>gharaṃ</b> akaritvā uparimaṃ <b>gharaṃ</b> āropessāmīti, netaṃ ṭhānaṃ vijjati, evameva kho, bhikkhave, yo evaṃ vadeyya, ahaṃ dukkhaṃ ariyasaccaṃ yathābhūtaṃ anabhisamecca",ghara,Similar
13646,iddhi 1,fem,psychic power; psychic potency; supernormal ability,sn22.78,sīhasuttaṃ,"evaṃ mah<b>iddhiko</b> kho, bhikkhave, sīho migarājā tiracchānagatānaṃ pāṇānaṃ, evaṃ mahesakkho, evaṃ mahānubhāvo.",,Similar
42654,pamatta 1,pp,careless; heedless; negligent; inattentive,sn35.246,vīṇopamasuttaṃ,ettha ca mahājano ativelaṃ <b>pamatto</b> palaḷitoti.,pamatto,Similar
45441,pātu,ind,in front; visible; open,sn56.38,dutiyasūriyasuttaṃ,"yāvakīvañca, bhikkhave, candimasūriyā loke nuppajjanti, neva tāva mahato ālokassa <b>pātu</b>bhāvo hoti mahato obhāsassa.",pāt,Similar
59691,samāna 2.1,prp,being; having; existing,sn22.78,sīhasuttaṃ,"aniccāva kira, bho, mayaṃ <b>samānā</b> niccamhāti amaññimha.",,Similar
61661,saṃyutta 1,pp,bound (with); connected (to); fettered (with); tied (to),sn35.232,koṭṭhikasuttaṃ,"seyyathāpi, āvuso, kāḷo ca balībaddo odāto ca balībaddo ekena dāmena vā yottena vā <b>saṃyuttā</b> assu.",,Similar
58152,santa 1.1,prp,existing; being; there is,sn35.70,upavāṇasandiṭṭhikasuttaṃ,"idha pana, upavāṇa, bhikkhu cakkhunā rūpaṃ disvā rūpappaṭisaṃvedī ca hoti rūparāgappaṭisaṃvedī ca, <b>santañ</b>ca ajjhattaṃ rūpesu rāgaṃ atthi me ajjhattaṃ rūpesu rāgoti pajānāti.",,Similar
65197,sota 1.1,masc,stream; river; current,sn35.241,paṭhamadārukkhandhopamasuttaṃ,"samuddaninno, bhikkhave, gaṅgāya nadiyā <b>soto</b> samuddapoṇo samuddapabbhāro.",,Similar
16494,upeti 1,pr,comes; approaches; enters,sn12.15,kaccānagottasuttaṃ,"tañcāyaṃ upayupādānaṃ cetaso adhiṭṭhānaṃ abhinivesānusayaṃ na upeti na upādiyati nādhiṭṭhāti, attā meti.",,Similar
66778,vāda 3,masc,debate; argument; disputation,sn45.5,kimatthiyasuttaṃ,"kacci mayaṃ, bhante, evaṃ puṭṭhā evaṃ byākaramānā vuttavādino ceva bhagavato homa, na ca bhagavantaṃ abhūtena abbhācikkhāma, dhammassa cānudhammaṃ byākaroma, na ca koci sahadhammiko <b>vādā</b>nuvādo gārayhaṃ ṭhānaṃ āgacchatīti?",,Similar
66734,vāta 1,masc,wind,sn12.55,mahārukkhasuttaṃ,masiṃ karitvā mahā<b>vāte</b> vā ophuṇeyya nadiyā vā sīghasotāya pavāheyya.,,Similar
65968,vata 2.1,nt,religious duty; spiritual practice; ritual observance; vow,sn35.241,paṭhamadārukkhandhopamasuttaṃ,"idha, bhikkhu, ekacco aññataraṃ devanikāyaṃ paṇidhāya brahmacariyaṃ carati: imināhaṃ sīlena vā <b>vatena</b> vā tapena vā brahmacariyena vā devo vā bhavissāmi devaññataro vāti.",,Similar
66084,vatthu 6,nt,basis (for); grounds (for),sn35.247,chappāṇakopamasuttaṃ,"tasmātiha, bhikkhave, evaṃ sikkhitabbaṃ: kāyagatā sati no bhāvitā bhavissati bahulīkatā yānīkatā <b>vatthu</b>katā anuṭṭhitā paricitā susamāraddhāti.",,Similar
