id,pali,selected_pali_word,sutta_number,sutta_name,class_example
7459,abrahmacārī,abrahmacārī,sn35.241,paṭhamadārukkhandhopamasuttaṃ,"idha, bhikkhu, ekacco dussīlo hoti pāpadhammo asucisaṅkassarasamācāro paṭicchannakamm'anto assamaṇo samaṇapaṭiñño <b>abrahmacārī</b> brahmacāripaṭiñño antopūti avassuto kasambujāto."
902,acirūpasampanna,acir'ūpasampanno,sn35.241,paṭhamadārukkhandhopamasuttaṃ,<b>acir'ūpasampanno</b> ca pan'āyasmā nando eko vūpakaṭṭho appamatto ātāpī pahit'atto viharanto nacirass'eva yass'atthāya kulaputtā samma'd'eva agārasmā anagāriyaṃ pabbajanti.
9148,alattha 1,alattha,sn35.241,paṭhamadārukkhandhopamasuttaṃ,"alattha kho nando gopālako bhagavato santike pabbajjaṃ, <b>alattha</b> upasampadaṃ."
12123,āmisagata,,sn35.230,bāḷisikopamasuttaṃ,"seyyathā'pi, bhikkhave, bāḷisiko <b>āmisagata</b>baḷisaṃ gambhīre udakarahade pakkhipeyya."
11718,ānanda 2,ānando,sn35.85,suññatalokasuttaṃ,"atha kho āyasmā <b>ānando</b> bhagavantaṃ etadavoca: suñño loko, suñño loko'ti, bhante, vuccati."
3807,anaya 1.1,anayaṃ,sn35.230,bāḷisikopamasuttaṃ,"evaṃ hi so, bhikkhave, maccho gilitabaḷiso bāḷisikassa, <b>anayaṃ</b> āpanno byasanaṃ āpanno yathākāmakaraṇīyo bāḷisikassa."
6971,appamāṇa 1,,sn35.247,chappāṇakopamasuttaṃ,"upaṭṭhitakāyassati ca viharati <b>appamāṇa</b>cetaso, tañ'ca cetovimuttiṃ paññāvimuttiṃ yathābhūtaṃ pajānāti yatth'assa te uppannā pāpakā akusalā dhammā aparisesā nirujjhanti."
9982,assamaṇa 2,assamaṇo,sn35.241,paṭhamadārukkhandhopamasuttaṃ,"idha, bhikkhu, ekacco dussīlo hoti pāpadhammo asucisaṅkassarasamācāro paṭicchannakamm'anto <b>assamaṇo</b> samaṇapaṭiñño abrahmacārī brahmacāripaṭiñño antopūti avassuto kasambujāto."
1849,aṭṭhāsi 1,aṭṭhāsi,sn35.118,sakkapañhasuttaṃ,upasaṅkamitvā bhagavantaṃ abhivādetvā ekam'antaṃ <b>aṭṭhāsi</b>.
10418,avassuta,avassuto,sn35.241,paṭhamadārukkhandhopamasuttaṃ,"idha, bhikkhu, ekacco dussīlo hoti pāpadhammo asucisaṅkassarasamācāro paṭicchannakamm'anto assamaṇo samaṇapaṭiñño abrahmacārī brahmacāripaṭiñño antopūti <b>avassuto</b> kasambujāto."
13147,āvuso,āvuso,sn35.232,koṭṭhikasuttaṃ,"ekam'antaṃ nisinno kho āyasmā mahākoṭṭhiko āyasmantaṃ sāriputtaṃ etadavoca: kiṃ nu kho, <b>āvuso</b> sāriputta, cakkhu rūpānaṃ saṃyojanaṃ, rūpā cakkhussa saṃyojanaṃ"
48227,baḷisa 1,,sn35.230,bāḷisikopamasuttaṃ,"evam'eva kho, bhikkhave, cha'y'ime <b>baḷisā</b> lokasmiṃ anayāya sattānaṃ, vadhāya pāṇinaṃ."
48404,bāḷisika,bāḷisiko,sn35.230,bāḷisikopamasuttaṃ,"seyyathā'pi, bhikkhave, <b>bāḷisiko</b> āmisagatabaḷisaṃ gambhīre udakarahade pakkhipeyya."
48941,brahmacāripaṭiñña,brahmacāripaṭiñño,sn35.241,paṭhamadārukkhandhopamasuttaṃ,"idha, bhikkhu, ekacco dussīlo hoti pāpadhammo asucisaṅkassarasamācāro paṭicchannakamm'anto assamaṇo samaṇapaṭiñño abrahmacārī <b>brahmacāripaṭiñño</b> antopūti avassuto kasambujāto."
48928,brahmacariyavāsa,brahmacariyavāso,sn35.232,koṭṭhikasuttaṃ,"cakkhu vā, āvuso, rūpānaṃ saṃyojanaṃ abhavissa, rūpā vā cakkhussa saṃyojanaṃ, na'y'idaṃ <b>brahmacariyavāso</b> paññāyetha sammā dukkhakkhayāya."
26212,caparaṃ,caparaṃ,sn35.70,upavāṇasandiṭṭhikasuttaṃ,"puna <b>caparaṃ</b>, upavāṇa, bhikkhu manasā dhammaṃ viññāya dhammappaṭisaṃvedī ca hoti dhammarāgappaṭisaṃvedī ca, santañ'ca ajjhattaṃ dhammesu rāgaṃ atthi me ajjhattaṃ dhammesu rāgoti pajānāti."
27524,chayime,cha'y'ime,sn35.230,bāḷisikopamasuttaṃ,"evam'eva kho, bhikkhave, <b>cha'y'ime</b> baḷisā lokasmiṃ anayāya sattānaṃ, vadhāya pāṇinaṃ."
34874,dhammasammudita,dhammasammuditā,sn35.136,paṭhamarūpārāmasuttaṃ,"hammārāmā, bhikkhave, devamanussā dhammaratā <b>dhammasammuditā</b>."
33839,dussīla 1,dussīlo,sn35.241,paṭhamadārukkhandhopamasuttaṃ,"idha, bhikkhu, ekacco <b>dussīlo</b> hoti pāpadhammo asucisaṅkassarasamācāro paṭicchannakamm'anto assamaṇo samaṇapaṭiñño abrahmacārī brahmacāripaṭiñño antopūti avassuto kasambujāto."
18114,evampi,evam'pi,sn35.28,ādittasuttaṃ,"yaṃ taṃ, upavāṇa, bhikkhu cakkhunā rūpaṃ disvā rūpappaṭisaṃvedī ca hoti rūparāgappaṭisaṃvedī ca, santañ'ca ajjhattaṃ rūpesu rāgaṃ atthi me ajjhattaṃ rūpesu rāgoti pajānāti, <b>evam'pi</b> kho, upavāṇa, sandiṭṭhiko dhammo hoti akāliko ehipassiko opanayiko paccattaṃ veditabbo viññūhī ti."
24946,gilati,gileyya,sn35.230,bāḷisikopamasuttaṃ,tam'enaṃ aññataro āmisacakkhu maccho <b>gileyya</b>.
25342,gopālaka,gopālako,sn35.241,paṭhamadārukkhandhopamasuttaṃ,tena kho pana samayena nando <b>gopālako</b> bhagavato avidūre ṭhito hoti.
