id,pali,pos,meaning
527,agāra 2,nt,household life; domestic living
2696,atthasaṃhita,adj,profitable; meaningful; beneficial
2714,atthavādī 1,adj,who speaks what is beneficial; who says what is meaningful
4411,anuggaha 2.1,masc,support; help; assistance
9917,assa 4.2,pron,his; of him; its; of it
14053,ukkujjeti,pr,turns the right way up
18053,eva 3,ind,even; too; as well
20957,kāma 1,adj,wishing (to); wanting (to); would be delighted (to)
20959,kāma 3,masc,sense desire (of); sensual pleasure (of)
21278,kāyindriya 1,nt,sense of touch; haptic faculty
21448,kālavādī,adj,who speaks at the proper time
26826,cīvara 1,nt,robe; cloth; robe-cloth
28538,jivhindriya 1,nt,sense of taste; gustatory faculty
29561,tato 3,ind,from there; from that; from then
30164,tassa 2,pron,of that; his; its
31138,te 2.3,pron,for you; to you
31216,tena 1,pron,with him; by him; with that; by that
31315,tesaṃ 1,pron,for them; to them; to those
31316,tesaṃ 2,pron,their; of these; of them; of those
32162,dava 1.1,masc,fun; joke; play; sport; pleasure
32428,diṭṭha 1.1,pp,seen; found; visible
34631,dhamma 1.06,masc,matter; thing; phenomena
35128,dhāreti 3,pr,bears in mind; keeps in mind; remembers (something about)
36427,nāma 2,ind,called; means; by the name of; namely
37294,nidhānavant,adj,worth treasuring; worth recording; worth keeping in the heart
39376,paccaya 2,masc,cause (for); reason (for); supporting condition (for); requirement (for)
39739,pajjota 1,masc,lamp; lantern
40383,paṭicchanna 2,pp,concealed; hidden; screened
43071,paraṃ,ind,after; beyond; on the other side (of)
43936,pariyantavant,adj,restricted; within limits; with defined purpose
49722,bhāra 1,masc,burden; load; weight
50182,bhūtavādī,adj,who speaks what is true
52100,maṃ 1,pron,me (object)
57938,sadattha 1.1,masc,highest good; true welfare; spiritual health
59623,samādhi 1,masc,perfect peace of mind; stability of mind; stillness of mind; mental composure
59824,samāhita 1,pp,composed; centred; collected; settled; steadied
62271,sāpadesa,adj,with reason; reasonable; with grounds; with authority
63818,sutta 1.3,nt,lying down; sleeping
69552,vivarati 1,pr,uncovers; reveals; exposes
69687,vihāra 3,masc,mode of living; way of life; way to spend time; mode of existence
70035,vutta 2.1,pp,said; told; spoken; mentioned
