id,pali,pos,meaning
8502,amanāpa 1,adj,unpleasant; dislikeable; disagreeable; detestable
10189,avacara 1,adj,accustomed (to); familiar (with); at home (in)
13760,indriyasaṃvara,masc,control of the mind; sense restraint
18082,evamassu,sandhi,they should be like this
20800,kassapa 3,masc,family name
26453,cāyasmā,sandhi,and venerable; but reverend
33061,duccarita 2,nt,misconduct; misbehaviour; bad behaviour (by)
42340,paneva,sandhi,now if; and just; further
43744,paribbājaka,masc,homeless spiritual seeker; wandering ascetic
50103,bhutta 1,pp,eaten; finished eating
51668,mahākassapa,masc,name of an arahant monk; great disciple of the Buddha; foremost disciple in preaching ascetic practices
52758,mukha 1,nt,mouth
63655,sucarita 2,nt,good conduct (by); good behaviour (by)
64616,suvimutta,adj,thoroughly freed; correctly liberated; perfectly emancipated
65600,vacanīya 2,ptp,should be spoken (to); should be told (to); should be said (to)
65611,vacī 1,adj,verbal; with speech
66778,vāda 3,masc,debate; argument; disputation
69981,vuṭṭhahi 2,aor,(of an illness) recovered from
