id,pali,selected_pali_word,sutta_number,sutta_name,class_example
109,akammāsa,akammāsehi,sn12.41,pañcaverabhayasuttaṃ,ariyakantehi sīlehi samannāgato hoti akhaṇḍehi acchiddehi asabalehi <b>akammāsehi</b> bhujissehi viññuppasatthehi aparāmaṭṭhehi samādhisaṃvattanikehi.
441,akhaṇḍa,akhaṇḍehi,sn12.41,pañcaverabhayasuttaṃ,ariyakantehi sīlehi samannāgato hoti <b>akhaṇḍehi</b> acchiddehi asabalehi akammāsehi bhujissehi viññuppasatthehi aparāmaṭṭhehi samādhisaṃvattanikehi.
1077,acchidda,acchiddehi,sn12.41,pañcaverabhayasuttaṃ,ariyakantehi sīlehi samannāgato hoti akhaṇḍehi <b>acchiddehi</b> asabalehi akammāsehi bhujissehi viññuppasatthehi aparāmaṭṭhehi samādhisaṃvattanikehi.
1546,aññathā 1,,,,
2202,atipātī,,,,
2901,adinnādāyī,adinn'ādāyī,sn12.41,pañcaverabhayasuttaṃ,"yaṃ, gahapati, <b>adinn'ādāyī</b> … kāmesumicchācārī … musāvādī … surāmerayamajjapamādaṭṭhāyī surā-meraya-majja-pamādaṭṭhāna-paccayā diṭṭhadhammikam'pi bhayaṃ veraṃ pasavati, samparāyikam'pi bhayaṃ veraṃ pasavati, cetasikam'pi dukkhaṃ domanassaṃ paṭisaṃvedayati, surāmerayamajjapamādaṭṭhānā paṭiviratassa evaṃ taṃ bhayaṃ veraṃ vūpasantaṃ hoti."
3497,anajjhosita,anajjhositā,sn12.51,parivīmaṃsanasuttaṃ,"so sukhaṃ ce vedanaṃ vedayati, sā aniccā'ti pajānāti, <b>anajjhositā</b>'ti pajānāti, anabhinanditā'ti pajānāti."
3758,anabhinandita,anabhinanditā,sn12.51,parivīmaṃsanasuttaṃ,"so sukhaṃ ce vedanaṃ vedayati, sā aniccā'ti pajānāti, anajjhositā'ti pajānāti, <b>anabhinanditā</b>'ti pajānāti."
3782,anabhisaṅkharonta,anabhisaṅkharonto,sn12.51,parivīmaṃsanasuttaṃ,"anabhisaṅkharonto anabhisañcetayanto na kiñci loke upādiyati, anupādiyaṃ na paritassati, aparitassaṃ paccattaññ'eva parinibbāyati."
3783,anabhisañcetayanta,anabhisañcetayanto,sn12.51,parivīmaṃsanasuttaṃ,"anabhisaṅkharonto <b>anabhisañcetayanto</b> na kiñci loke upādiyati, anupādiyaṃ na paritassati, aparitassaṃ paccattaññ'eva parinibbāyati."
3946,anāthapiṇḍika,anāthapiṇḍiko,sn12.41,pañcaverabhayasuttaṃ,"atha kho <b>anāthapiṇḍiko</b> gahapati yena bhagavā ten'upasaṅkami, upasaṅkamitvā bhagavantaṃ abhivādetvā ekam'antaṃ nisīdi."
4817,anupādiyanta,,,,
4937,anuppādadhamma,anuppādadhammo,sn12.20,paccayasuttaṃ,"uppādā vā tathāgatānaṃ <b>anuppādadhammo</b> vā tathāgatānaṃ, ṭhitāva sā dhātu dhammaṭṭhitatā dhammaniyāmatā idappaccayatā."
5672,antamaso 1,,,,
5675,antara 1,antaraṃ,sn12.66,sammasasuttaṃ,"sammasatha no tumhe, bhikkhave, <b>antaraṃ</b> sammasan'ti."
6331,aparāmaṭṭha,aparāmaṭṭhehi,sn12.41,pañcaverabhayasuttaṃ,ariyakantehi sīlehi samannāgato hoti akhaṇḍehi acchiddehi asabalehi akammāsehi bhujissehi viññuppasatthehi <b>aparāmaṭṭhehi</b> samādhisaṃvattanikehi.
6358,aparitassanta,,,,
6697,apuñña,apuññaṃ,sn12.51,parivīmaṃsanasuttaṃ,"apuññaṃ ce saṅkhāraṃ abhisaṅkharoti, <b>apuññ</b>'ūpagaṃ hoti viññāṇaṃ."
7924,abhinivesa,abhinives'ānusayaṃ,sn12.15,kaccānagottasuttaṃ,"upay'upādān'ābhinivesa-vinibandho khv'āyaṃ, kaccāna, loko yebhuyyena. tañ'c'āyaṃ upay'upādānaṃ cetaso adhiṭṭhānaṃ <b>abhinives'ānusayaṃ</b> na upeti na upādiyati n'ādhiṭṭhāti, attā me'ti."
9490,asabala,,,,
10273,avatthu,,,,
10535,avijjāpaccayā,avijjāpaccayā,sn12.1,paṭiccasamuppādasuttaṃ,"avijjāpaccayā, bhikkhave, saṅkhārā, saṅkhārapaccayā viññāṇaṃ, viññāṇapaccayā nāmarūpaṃ, nāmarūpapaccayā saḷāyatanaṃ, saḷāyatanapaccayā phasso, phassapaccayā vedanā, vedanāpaccayā taṇhā, taṇhāpaccayā upādānaṃ, upādānapaccayā bhavo, bhavapaccayā jāti, jātipaccayā jarāmaraṇaṃ soka-parideva-dukkha-domanass'upāyāsā sambhavanti."
10561,avijjāvirāga,avijjāvirāgā,sn12.51,parivīmaṃsanasuttaṃ,"yato kho, bhikkhave, bhikkhuno avijjā pahīnā hoti vijjā uppannā, so <b>avijjāvirāgā</b> vijj'uppādā n'eva puññ'ābhisaṅkhāraṃ abhisaṅkharoti na apuññ'ābhisaṅkhāraṃ abhisaṅkharoti na āneñj'ābhisaṅkhāraṃ abhisaṅkharoti."
10771,avecca,,,,
10777,aveccappasāda,aveccappasādena,sn12.41,pañcaverabhayasuttaṃ,"idha, gahapati, ariyasāvako buddhe <b>aveccappasādena</b> samannāgato hoti, iti'pi so bhagavā arahaṃ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṃ buddho bhagavā'ti."
10921,ahu 1.1,ahu,sn12.10,gotamasuttaṃ,"tassa mayhaṃ, bhikkhave, yoniso manasikārā <b>ahu</b> paññāya abhisamayo, jātiyā kho sati jarāmaraṇaṃ hoti, jātipaccayā jarāmaraṇan'ti."
11454,ātapa 1,,,,
11528,ādāyī,,,,
11774,ānisaṃsa 1,ānisaṃsā,sn12.22,dutiyadasabalasuttaṃ,"yesañ'ca mayaṃ paribhuñjāma cīvara-piṇḍapāta-sen'āsana-gilānappaccaya-bhesajja-parikkhāraṃ tesaṃ te kārā amhesu mahapphalā bhavissanti mah'<b>ānisaṃsā</b>'ti, evañ'hi vo, bhikkhave, sikkhitabbaṃ."
11806,āneñja 2,āneñjaṃ,sn12.51,parivīmaṃsanasuttaṃ,āneñjaṃ ce saṅkhāraṃ abhisaṅkharoti āneñj'ūpagaṃ hoti viññāṇaṃ.
11873,āpatti,,,,
11940,āpānīya,āpānīyakaṃso,sn12.66,sammasasuttaṃ,"seyyathā'pi, bhikkhave, <b>āpānīyakaṃso</b> vaṇṇasampanno gandhasampanno rasasampanno."
11941,āpānīyakaṃsa,āpānīyakaṃso,sn12.66,sammasasuttaṃ,"seyyathā'pi, bhikkhave, <b>āpānīyakaṃso</b> vaṇṇasampanno gandhasampanno rasasampanno."
12528,ārogya,,,,
