id,pali,selected_pali_word,sutta_number,sutta_name,class_example
527,agāra 2,,,,
1227,ajjatagge,ajja't'agge,mn107,gaṇakamoggallānasuttaṃ,upāsakaṃ maṃ bhavaṃ gotamo dhāretu <b>ajja't'agge</b> pāṇ'upetaṃ saraṇaṃ gatan'ti.
2696,atthasaṃhita,,,,
2714,atthavādī 1,,,,
4411,anuggaha 2.1,,,,
4524,anuttara,anuttaraṃ,mn107,gaṇakamoggallānasuttaṃ,"ye kho te, brāhmaṇa, bhikkhū sekkhā apattamānasā <b>anuttaraṃ</b> yogakkhemaṃ patthayamānā viharanti tesu me ayaṃ evarūpī anusāsanī hoti."
4902,anuppatta 2,anuppattasadatthā,mn107,gaṇakamoggallānasuttaṃ,"ye pana te bhikkhū arahanto khīṇ'āsavā vusitavanto katakaraṇīyā ohitabhārā <b>anuppattasadatthā</b> parikkhīṇabhavasaṃyojanā samma'd'aññā vimuttā tesaṃ ime dhammā diṭṭhadhammasukhavihārāya c'eva saṃvattanti, satisampajaññāya cā'ti."
5508,anekapariyāyena,anekapariyāyena,mn107,gaṇakamoggallānasuttaṃ,evam'evaṃ bhotā gotamena <b>anekapariyāyena</b> dhammo pakāsito.
7141,apphuṭa,apphuṭaṃ,mn107,gaṇakamoggallānasuttaṃ,"so imam'eva kāyaṃ vivekajena pītisukhena abhisandeti parisandeti paripūreti parippharati, n'āssa kiñci sabbāvato kāyassa vivekajena pītisukhena <b>apphuṭaṃ</b> hoti."
8200,abhisandeti,abhisandeti,mn107,gaṇakamoggallānasuttaṃ,"so imam'eva kāyaṃ vivekajena pītisukhena <b>abhisandeti</b> parisandeti paripūreti parippharati, n'āssa kiñci sabbāvato kāyassa vivekajena pītisukhena apphuṭaṃ hoti."
8201,abhisandeti parisandeti paripūreti parippharati,abhisandeti parisandeti paripūreti parippharati,mn107,gaṇakamoggallānasuttaṃ,"so imam'eva kāyaṃ vivekajena pītisukhena <b>abhisandeti parisandeti paripūreti parippharati</b>, n'āssa kiñci sabbāvato kāyassa vivekajena pītisukhena apphuṭaṃ hoti."
8679,ambho,ambho,mn107,gaṇakamoggallānasuttaṃ,"tam'enaṃ tvaṃ evaṃ vadeyyāsi, eh'<b>ambho</b> purisa, ayaṃ maggo rājagahaṃ gacchati."
8757,ayaṃ,ayaṃ,mn107,gaṇakamoggallānasuttaṃ,"tam'enaṃ tvaṃ evaṃ vadeyyāsi, eh'ambho purisa, <b>ayaṃ</b> maggo rājagahaṃ gacchati."
8928,arahant,arahanto,mn107,gaṇakamoggallānasuttaṃ,"ye pana te bhikkhū arahanto khīṇ'āsavā vusitavanto katakaraṇīyā ohitabhārā anuppattasadatthā parikkhīṇabhavasaṃyojanā samma'd'aññā vimuttā tesaṃ ime dhammā diṭṭhadhammasukhavihārāya c'eva saṃvattanti, satisampajaññāya cā'ti."
9917,assa 4.2,,,,
10868,ahaṃ,ahaṃ,mn107,gaṇakamoggallānasuttaṃ,"evaṃ, bho, kusalo <b>ahaṃ</b> rājagahagāmissa maggassā'ti."
11333,ācikkhati 2,ācikkhanti,mn107,gaṇakamoggallānasuttaṃ,"puna caparaṃ, bhikkhave, bhikkhu pītiyā ca virāgā upekkhako ca viharati, sato ca sampajāno, sukhañ'ca kāyena paṭisaṃvedeti, yaṃ taṃ ariyā <b>ācikkhanti</b>, upekkhako satimā sukhavihārī'ti tatiyaṃ jhānaṃ upasampajja viharati."
13354,icchati 1.1,icchām'ahaṃ,mn107,gaṇakamoggallānasuttaṃ,"so taṃ upasaṅkamitvā evaṃ vadeyya, <b>icchām'ahaṃ</b>, bhante, rājagahaṃ gantuṃ, tassa me rājagahassa maggaṃ upadisā'ti."
13784,imameva,imam'eva,mn107,gaṇakamoggallānasuttaṃ,"so imam'eva kāyaṃ vivekajena pītisukhena abhisandeti parisandeti paripūreti parippharati, n'āssa kiñci sabbāvato kāyassa vivekajena pītisukhena apphuṭaṃ hoti."
13798,imaṃ,imassa,mn107,gaṇakamoggallānasuttaṃ,"seyyathā'pi, bho gotama, <b>imassa</b> migāramātupāsādassa dissati anupubbasikkhā anupubbakiriyā anupubbapaṭipadā yad'idaṃ"
13818,ime,ime,mn107,gaṇakamoggallānasuttaṃ,"imesam'pi hi, bho gotama, brāhmaṇānaṃ dissati anupubbasikkhā anupubbakiriyā anupubbapaṭipadā yad'idaṃ, ajjhene,"
14053,ukkujjeti,,,,
14413,ujuṃ,ujuṃ,mn107,gaṇakamoggallānasuttaṃ,"so pacchābhattaṃ piṇḍapātapaṭikkanto nisīdati pallaṅkaṃ ābhujitvā, <b>ujuṃ</b> kāyaṃ paṇidhāya, parimukhaṃ satiṃ upaṭṭhapetvā."
15178,uddhaccakukkucca,uddhaccakukkuccaṃ,mn107,gaṇakamoggallānasuttaṃ,"uddhaccakukkuccaṃ pahāya anuddhato viharati ajjhattaṃ vūpasantacitto, <b>uddhaccakukkuccaṃ</b> cittaṃ parisodheti,"
15373,upakkilesa,upakkilese,mn107,gaṇakamoggallānasuttaṃ,"so ime pañca nīvaraṇe pahāya cetaso <b>upakkilese</b> paññāya dubbalīkaraṇe, vivicc'eva kāmehi vivicca akusalehi dhammehi,"
15510,upaṭṭhapetvā 1,upaṭṭhapetvā,mn107,gaṇakamoggallānasuttaṃ,"so pacchābhattaṃ piṇḍapātapaṭikkanto nisīdati pallaṅkaṃ ābhujitvā, ujuṃ kāyaṃ paṇidhāya, parimukhaṃ satiṃ <b>upaṭṭhapetvā</b>."
15966,uparati,vihiṃs'ūparatiyā,mn107,gaṇakamoggallānasuttaṃ,"n'eva davāya na madāya na maṇḍanāya na vibhūsanāya, yāva'd'eva imassa kāyassa ṭhitiyā yāpanāya <b>vihiṃs'ūparatiyā</b> brahmacariy'ānuggahāya, iti purāṇañ'ca vedanaṃ paṭihaṅkhāmi, navañ'ca vedanaṃ na uppādessāmi, yātrā ca me bhavissati anavajjatā ca phāsuvihāro cā'ti."
16491,upeta 1,upetaṃ,mn107,gaṇakamoggallānasuttaṃ,upāsakaṃ maṃ bhavaṃ gotamo dhāretu ajja't'agge pāṇ'<b>upetaṃ</b> saraṇaṃ gatan'ti.
17376,eka 1,ekaṃ,mn107,gaṇakamoggallānasuttaṃ,"evaṃ me sutaṃ, <b>ekaṃ</b> samayaṃ bhagavā sāvatthiyaṃ viharati pubb'ārāme migāramātupāsāde."
17855,etad,etad,mn107,gaṇakamoggallānasuttaṃ,ekam'antaṃ nisinno kho gaṇakamoggallāno brāhmaṇo bhagavantaṃ <b>etad</b>'avoca
18053,eva 3,,,,
19134,ohita 1,ohitabhārā,mn107,gaṇakamoggallānasuttaṃ,"ye pana te bhikkhū arahanto khīṇ'āsavā vusitavanto katakaraṇīyā <b>ohitabhārā</b> anuppattasadatthā parikkhīṇabhavasaṃyojanā samma'd'aññā vimuttā tesaṃ ime dhammā diṭṭhadhammasukhavihārāya c'eva saṃvattanti, satisampajaññāya cā'ti."
19137,ohitabhāra,ohitabhārā,mn107,gaṇakamoggallānasuttaṃ,"ye pana te bhikkhū arahanto khīṇ'āsavā vusitavanto katakaraṇīyā <b>ohitabhārā</b> anuppattasadatthā parikkhīṇabhavasaṃyojanā samma'd'aññā vimuttā tesaṃ ime dhammā diṭṭhadhammasukhavihārāya c'eva saṃvattanti, satisampajaññāya cā'ti."
19605,katakaraṇīya,katakaraṇīyā,mn107,gaṇakamoggallānasuttaṃ,"ye pana te bhikkhū arahanto khīṇ'āsavā vusitavanto <b>katakaraṇīyā</b> ohitabhārā anuppattasadatthā parikkhīṇabhavasaṃyojanā samma'd'aññā vimuttā tesaṃ ime dhammā diṭṭhadhammasukhavihārāya c'eva saṃvattanti, satisampajaññāya cā'ti."
19835,kathaṃkathī,akathaṃkathī,mn107,gaṇakamoggallānasuttaṃ,"vicikicchaṃ pahāya tiṇṇavicikiccho viharati <b>akathaṃkathī</b> kusalesu dhammesu, vicikicchāya cittaṃ parisodheti."
20957,kāma 1,,,,
20959,kāma 3,,,,
21278,kāyindriya 1,,,,
21448,kālavādī,,,,
21657,kiñci 1,kiñci,mn107,gaṇakamoggallānasuttaṃ,"so imam'eva kāyaṃ vivekajena pītisukhena abhisandeti parisandeti paripūreti parippharati, n'āssa <b>kiñci</b> sabbāvato kāyassa vivekajena pītisukhena apphuṭaṃ hoti."
22925,ko nu,ko nu,mn107,gaṇakamoggallānasuttaṃ,"ko nu kho, bho gotama, hetu ko paccayo yaṃ tiṭṭhat'eva nibbānaṃ, tiṭṭhati nibbānagāmī maggo, tiṭṭhati bhavaṃ gotamo samādapetā,"
23763,khīṇāsava,khīṇ'āsavā,mn107,gaṇakamoggallānasuttaṃ,"ye pana te bhikkhū arahanto <b>khīṇ'āsavā</b> vusitavanto katakaraṇīyā ohitabhārā anuppattasadatthā parikkhīṇabhavasaṃyojanā samma'd'aññā vimuttā tesaṃ ime dhammā diṭṭhadhammasukhavihārāya c'eva saṃvattanti, satisampajaññāya cā'ti."
24074,gaṇakamoggallāna,gaṇakamoggallāno,mn107,gaṇakamoggallānasuttaṃ,"atha kho <b>gaṇakamoggallāno</b> brāhmaṇo yena bhagavā ten'upasaṅkami, upasaṅkamitvā bhagavatā saddhiṃ sammodi."
24184,gata 1,gate,mn107,gaṇakamoggallānasuttaṃ,"asite pīte khāyite sāyite sampajānakārī, uccārapassāvakamme sampajānakārī, <b>gate</b> ṭhite nisinne sutte jāgarite bhāsite tuṇhībhāve sampajānakārī'ti."
25610,ghānindriya 1,ghānena,mn107,gaṇakamoggallānasuttaṃ,ghānena gandhaṃ ghāyitvā ...
26826,cīvara 1,,,,
28538,jivhindriya 1,,,,
28968,ñū 2,mattaññū,mn107,gaṇakamoggallānasuttaṃ,"ehi tvaṃ, bhikkhu, bhojane <b>mattaññū</b> hohi."
29125,ṭhitiyā,ṭhitiyā,mn107,gaṇakamoggallānasuttaṃ,"n'eva davāya na madāya na maṇḍanāya na vibhūsanāya, yāva'd'eva imassa kāyassa <b>ṭhitiyā</b> yāpanāya vihiṃs'ūparatiyā brahmacariy'ānuggahāya, iti purāṇañ'ca vedanaṃ paṭihaṅkhāmi, navañ'ca vedanaṃ na uppādessāmi, yātrā ca me bhavissati anavajjatā ca phāsuvihāro cā'ti."
29561,tato 3,,,,
30164,tassa 2,,,,
30212,taṃ kiṃ maññasi,taṃ kiṃ maññasi,mn107,gaṇakamoggallānasuttaṃ,"taṃ kiṃ maññasi, brāhmaṇa, kusalo tvaṃ rājagahagāmissa maggassā'ti?"
31138,te 2.3,,,,
31216,tena 1,,,,
