id,pali,selected_pali_word,sutta_number,sutta_name,class_example
2696,atthasaṃhita,atthasaṃhitaṃ,sn56.31,sīsapāvanasuttaṃ,"na h'etaṃ, bhikkhave, <b>atthasaṃhitaṃ</b> n'ādibrahmacariyakaṃ na nibbidāya na virāgāya na nirodhāya na upasamāya na abhiññāya na sambodhāya na nibbānāya saṃvattati, tasmā taṃ mayā anakkhātaṃ."
14053,ukkujjeti,ukkujjeyya,mn107,gaṇakamoggallānasuttaṃ,"seyyathā'pi, bho gotama, nikkujjitaṃ vā <b>ukkujjeyya</b>, paṭicchannaṃ vā vivareyya, mūḷhassa vā maggaṃ ācikkheyya, andhakāre vā telapajjotaṃ dhāreyya, cakkhumanto rūpāni dakkhantī'ti,"
20959,kāma 3,kām'āsavā,sn46.5,bhikkhusuttaṃ,"tass'ime satta bojjh'aṅge bhāvayato <b>kām</b>'āsavā'pi cittaṃ vimuccati, bhav'āsavā'pi cittaṃ vimuccati, avijj'āsavā'pi cittaṃ vimuccati."
32162,dava 1.1,dava,mn107,gaṇakamoggallānasuttaṃ,"n'eva <b>davaya</b> na madāya na maṇḍanāya na vibhūsanāya, yāva'd'eva imassa kāyassa ṭhitiyā yāpanāya vihiṃs'ūparatiyā brahmacariy'ānuggahāya, iti purāṇañ'ca vedanaṃ paṭihaṅkhāmi, navañ'ca vedanaṃ na uppādessāmi, yātrā ca me bhavissati anavajjatā ca phāsuvihāro cā'ti."
32428,diṭṭha 1.1,diṭṭhaṃ,sn47.9,gilānasuttaṃ,"diṭṭho me, bhante, bhagavato phāsu, <b>diṭṭhaṃ</b>, bhante, bhagavato khamanīyaṃ, <b>diṭṭhaṃ</b>, bhante, bhagavato yāpanīyaṃ."
35128,dhāreti 3,dhāreti,mn107,gaṇakamoggallānasuttaṃ,upāsakaṃ maṃ bhavaṃ gotamo <b>dhāretu</b> ajja't'agge pāṇ'upetaṃ saraṇaṃ gatan'ti.
36427,nāma 2,nāma,sn45.2,upaḍḍhasuttaṃ,ekaṃ samayaṃ bhagavā sakyesu viharati nagarakaṃ <b>nāma</b> sakyānaṃ nigamo.
39376,paccaya 2,paccayo,mn107,gaṇakamoggallānasuttaṃ,"ko nu kho, bho gotama, hetu ko <b>paccayo</b> yaṃ tiṭṭhat'eva nibbānaṃ, tiṭṭhati nibbānagāmī maggo, tiṭṭhati bhavaṃ gotamo samādapetā,"
40383,paṭicchanna 2,paṭicchannaṃ,mn107,gaṇakamoggallānasuttaṃ,"seyyathā'pi, bho gotama, nikkujjitaṃ vā ukkujjeyya, <b>paṭicchannaṃ</b> vā vivareyya, mūḷhassa vā maggaṃ ācikkheyya, andhakāre vā telapajjotaṃ dhāreyya, cakkhumanto rūpāni dakkhantī'ti,"
59623,samādhi 1,sammāsamādhi,sn45.8,vibhaṅgasuttaṃ,vitakkavicārānaṃ vūpasamā ajjhattaṃ sampasādanaṃ cetaso ekodibhāvaṃ avitakkaṃ avicāraṃ <b>samādhi</b>jaṃ pītisukhaṃ dutiyaṃ jhānaṃ upasampajja viharati.
