id,pali,selected_pali_word,sutta_number,sutta_name,class_example
902,acirūpasampanna,acir'ūpasampanno,sn35.241,paṭhamadārukkhandhopamasuttaṃ,acir'ūpasampanno ca pan'āyasmā nando eko vūpakaṭṭho appamatto ātāpī pahit'atto viharanto nacirass'eva yass'atthāya kulaputtā samma'd'eva agārasmā anagāriyaṃ pabbajanti.
1849,aṭṭhāsi 1,aṭṭhāsi,sn35.118,sakkapañhasuttaṃ,upasaṅkamitvā bhagavantaṃ abhivādetvā ekam'antaṃ aṭṭhāsi.
3807,anaya 1.1,anayaṃ,sn35.230,bāḷisikopamasuttaṃ,"evaṃ hi so, bhikkhave, maccho gilitabaḷiso bāḷisikassa, <b>anayaṃ</b> āpanno byasanaṃ āpanno yathākāmakaraṇīyo bāḷisikassa."
6971,appamāṇa 1,appamāṇacetaso,sn35.247,chappāṇakopamasuttaṃ,"upaṭṭhitakāyassati ca viharati <b>appamāṇacetaso</b>, tañ'ca cetovimuttiṃ paññāvimuttiṃ yathābhūtaṃ pajānāti yatth'assa te uppannā pāpakā akusalā dhammā aparisesā nirujjhanti."
7459,abrahmacārī,abrahmacārī,sn35.241,paṭhamadārukkhandhopamasuttaṃ,"idha, bhikkhu, ekacco dussīlo hoti pāpadhammo asucisaṅkassarasamācāro paṭicchannakamm'anto assamaṇo samaṇapaṭiñño <b>abrahmacārī</b> brahmacāripaṭiñño antopūti avassuto kasambujāto."
9148,alattha 1,alattha,sn35.241,paṭhamadārukkhandhopamasuttaṃ,"alattha kho nando gopālako bhagavato santike pabbajjaṃ, <b>alattha</b> upasampadaṃ."
9982,assamaṇa 2,assamaṇo,sn35.241,paṭhamadārukkhandhopamasuttaṃ,"idha, bhikkhu, ekacco dussīlo hoti pāpadhammo asucisaṅkassarasamācāro paṭicchannakamm'anto <b>assamaṇo</b> samaṇapaṭiñño abrahmacārī brahmacāripaṭiñño antopūti avassuto kasambujāto."
10418,avassuta,avassuto,sn35.241,paṭhamadārukkhandhopamasuttaṃ,"idha, bhikkhu, ekacco dussīlo hoti pāpadhammo asucisaṅkassarasamācāro paṭicchannakamm'anto assamaṇo samaṇapaṭiñño abrahmacārī brahmacāripaṭiñño antopūti <b>avassuto</b> kasambujāto."
11718,ānanda 2,ānando,sn35.85,suññatalokasuttaṃ,"atha kho āyasmā <b>ānando</b> bhagavantaṃ etadavoca: suñño loko, suñño loko'ti, bhante, vuccati."
12123,āmisagata,āmisagatabaḷisaṃ,sn35.230,bāḷisikopamasuttaṃ,"seyyathā'pi, bhikkhave, bāḷisiko <b>āmisagatabaḷisaṃ</b> gambhīre udakarahade pakkhipeyya."
