id,pali,selected_pali_word,sutta_number,sutta_name,class_example
7455,abrahmacariya 1,abrahmacariyā,sn45.8,vibhaṅgasuttaṃ,"yā kho, bhikkhave, pāṇ'ātipātā veramaṇī, adinn'ādānā veramaṇī, <b>abrahmacariyā</b> veramaṇī, ayaṃ vuccati, bhikkhave, sammākamm'anto."
11225,āgamma 2,āgamma,sn45.2,upaḍḍhasuttaṃ,"mamañ'hi, ānanda, kalyāṇamittaṃ <b>āgamma</b> jātidhammā sattā jātiyā parimuccanti, jarādhammā sattā jarāya parimuccanti, maraṇadhammā sattā maraṇena parimuccanti, sokaparidevadukkhadomanassupāyāsadhammā sattā soka-parideva-dukkha-domanass'upāyāsehi parimuccanti."
20667,kalyāṇamittatā,kalyāṇamittatā,sn45.2,upaḍḍhasuttaṃ,"ekam'antaṃ nisinno kho āyasmā ānando bhagavantaṃ etadavoca, upaḍḍham'idaṃ, bhante, brahmacariyaṃ, yadidaṃ, <b>kalyāṇamittatā</b> kalyāṇasahāyatā kalyāṇasampavaṅkatā'ti."
42476,pabbajita 1,pabbajito,sn45.24,dutiyapaṭipadāsuttaṃ,"gihino v'āhaṃ, bhikkhave, <b>pabbajitassa</b> vā micchāpaṭipadaṃ na vaṇṇemi."
52579,micchāājīva 1,micchāājīvaṃ,sn45.8,vibhaṅgasuttaṃ,"idha, bhikkhave, ariyasāvako <b>micchāājīvaṃ</b> pahāya sammāājīvena jīvitaṃ kappeti, ayaṃ vuccati, bhikkhave, sammāājīvo."
52657,mitta 1,kalyāṇamittatā,sn45.2,upaḍḍhasuttaṃ,"ekam'antaṃ nisinno kho āyasmā ānando bhagavantaṃ etadavoca, upaḍḍham'idaṃ, bhante, brahmacariyaṃ, yadidaṃ, <b>kalyāṇamittatā</b> kalyāṇasahāyatā kalyāṇasampavaṅkatā'ti."
52889,muṇḍa 1,muṇḍo,sn45.160,nadīsuttaṃ,"so vata, bhikkhave, bhikkhu ariyaṃ aṭṭh'aṅgikaṃ maggaṃ bhāvento ariyaṃ aṭṭh'aṅgikaṃ maggaṃ bahulīkaronto sikkhaṃ paccakkhāya hīnāyāvattissatīti, n'etaṃ ṭhānaṃ vijjati."
53051,musāvāda,musāvādā,sn45.8,vibhaṅgasuttaṃ,"yā kho, bhikkhave, <b>musāvādā</b> veramaṇī, pisuṇāya vācāya veramaṇī, pharusāya vācāya veramaṇī, samphappalāpā veramaṇī, ayaṃ vuccati, bhikkhave, sammāvācā."
53516,yañhi,yañ'hi,sn45.160,nadīsuttaṃ,"yañ'hi taṃ, bhikkhave, cittaṃ dīgharattaṃ vivekaninnaṃ vivekapoṇaṃ vivekapabbhāraṃ taṃ vata hīnāyāvattissatīti, n'etaṃ ṭhānaṃ vijjati."
60824,sammāpaṭipanna,sammāpaṭipanno,sn45.24,dutiyapaṭipadāsuttaṃ,"gihi vā, bhikkhave, pabbajito vā <b>sammāpaṭipanno</b> sammāpaṭipatt'ādhikaraṇahetu ārādhako hoti ñāyaṃ dhammaṃ kusalaṃ."
62602,sālohita,ñātisālohitā,sn45.160,nadīsuttaṃ,"evam'eva kho, bhikkhave, bhikkhuṃ ariyaṃ aṭṭh'aṅgikaṃ maggaṃ bhāventaṃ ariyaṃ aṭṭh'aṅgikaṃ maggaṃ bahulīkarontaṃ rājāno vā rājamahāmattā vā mittā vā amaccā vā ñātī vā <b>ñātisālohitā</b> vā bhogehi abhihaṭṭhuṃ pavāreyyuṃ, eh'ambho purisa, kiṃ te ime kāsāvā anudahanti, kiṃ muṇḍo kapālam'anusaṃcarasi! ehi, hīnāy'āvattitvā bhoge ca bhuñjassu, puññāni ca karohī'ti."
64759,sūriya 1,sūriyassa,sn45.56,kalyāṇamittasuttaṃ,"sūriyassa, bhikkhave, udayato etaṃ pubbaṅ'gamaṃ etaṃ pubbanimittaṃ, yadidaṃ, aruṇ'uggaṃ, evam'eva kho, bhikkhave, bhikkhuno ariyassa aṭṭh'aṅgikassa maggassa uppādāya etaṃ pubbaṅ'gamaṃ etaṃ pubbanimittaṃ, yadidaṃ, kalyāṇamittatā."
66692,vācā 1,sammāvācaṃ,sn45.2,upaḍḍhasuttaṃ,sammāvācaṃ bhāveti vivekanissitaṃ virāganissitaṃ nirodhanissitaṃ vossaggapariṇāmiṃ
