id,pali,selected_pali_word,sutta_number,sutta_name,class_example
526,agāra 1,,,,
808,aṅgika,aṭṭh'aṅgiko,sn56.13,khandhasuttaṃ,"ayam'eva ariyo <b>aṭṭh'aṅgiko</b> maggo, seyyath'īdaṃ, sammādiṭṭhi sammāsaṅkappo sammāvācā sammākamm'anto sammā-ājīvo sammāvāyāmo sammāsati sammāsamādhi."
1573,aññamañña,,,,
2397,atīta 2,atītam'addhānaṃ,sn56.5,paṭhamasamaṇabrāhmaṇasuttaṃ,"ye hi keci, bhikkhave, <b>atītam'addhānaṃ</b> samaṇā vā brāhmaṇā vā yathābhūtaṃ abhisambojjhiṃsu, sabbe te cattāri ariyasaccāni yathābhūtaṃ abhisambojjhiṃsu."
2404,atītamaddhānaṃ,atītam'addhānaṃ,sn56.5,paṭhamasamaṇabrāhmaṇasuttaṃ,"ye hi keci, bhikkhave, <b>atītam'addhānaṃ</b> samaṇā vā brāhmaṇā vā yathābhūtaṃ abhisambojjhiṃsu, sabbe te cattāri ariyasaccāni yathābhūtaṃ abhisambojjhiṃsu."
2598,attha 1.2,,,,
2736,atthi 1.1,atthi,sn56.5,paṭhamasamaṇabrāhmaṇasuttaṃ,"ye hi keci, bhikkhave, atītam'addhānaṃ samaṇā vā brāhmaṇā vā yathābhūtaṃ abhisambojjhiṃsu, sabbe te cattāri ariyasaccāni yathābhūtaṃ abhisambojjhiṃsu."
3281,adhimatta,adhimatto,sn56.34,celasuttaṃ,"āditte, bhikkhave, celaṃ vā sīsaṃ vā ajjhupekkhitvā amanasikaritvā anabhisametānaṃ catunnaṃ ariyasaccānaṃ yathābhūtaṃ abhisamayāya <b>adhimatto</b> chando ca vāyāmo ca ussāho ca ussoḷhī ca appaṭivānī ca sati ca sampajaññañ'ca karaṇīyaṃ."
3641,ananubodha,ananubodhā,sn56.21,paṭhamakoṭigāmasuttaṃ,"tatra kho bhagavā bhikkhū āmantesi, catunnaṃ, bhikkhave, ariyasaccānaṃ <b>ananubodhā</b> appaṭivedhā evam'idaṃ dīgham'addhānaṃ sandhāvitaṃ saṃsaritaṃ mamañ'c'eva tumhākañ'ca."
3891,anāgata 2,anāgatam'addhānaṃ,sn56.5,paṭhamasamaṇabrāhmaṇasuttaṃ,"ye hi keci, bhikkhave, anāgatam'addhānaṃ samaṇā vā brāhmaṇā vā yathābhūtaṃ abhisambojjhissanti, sabbe te cattāri ariyasaccāni yathābhūtaṃ abhisambojjhissanti."
5642,anta 1,antaṃ,sn56.31,sīsapāvanasuttaṃ,"sammā dukkhass'<b>antaṃ</b> karissāmī'ti, ṭhānam'etaṃ vijjati."
6658,api 1.2,,,,
6763,appa 2,appamattakāni,sn56.31,sīsapāvanasuttaṃ,"appamattakāni, bhante, bhagavatā parittāni sīsapāpaṇṇāni pāṇinā gahitāni, atha kho etān'eva bahutarāni yadidaṃ upari sīsapāvane'ti."
6863,appaṭivānī,appaṭivānī,sn56.34,celasuttaṃ,"ādittaṃ, bhikkhave, celaṃ vā sīsaṃ vā ajjhupekkhitvā amanasikaritvā anabhisametānaṃ catunnaṃ ariyasaccānaṃ yathābhūtaṃ abhisamayāya adhimatto chando ca vāyāmo ca ussāho ca ussoḷhī ca <b>appaṭivānī</b> ca sati ca sampajaññañ'ca karaṇīyaṃ."
6960,appamattaka 1,appamattakāni,sn56.31,sīsapāvanasuttaṃ,"appamattakāni, bhante, bhagavatā parittāni sīsapāpaṇṇāni pāṇinā gahitāni, atha kho etān'eva bahutarāni yadidaṃ upari sīsapāvane'ti."
8575,amu,,,,
9019,ariyasacca,ariyasaccāni,sn56.5,paṭhamasamaṇabrāhmaṇasuttaṃ,"ye hi keci, bhikkhave, atītam'addhānaṃ samaṇā vā brāhmaṇā vā yathābhūtaṃ abhisambojjhiṃsu, sabbe te cattāri <b>ariyasaccāni</b> yathābhūtaṃ abhisambojjhiṃsu."
9915,assa 3.1,,,,
13822,imesaṃ 2,imesaṃ,sn56.29,pariññeyyasuttaṃ,"imesaṃ kho, bhikkhave, catunnaṃ ariyasaccānaṃ atthi ariyasaccaṃ pariññeyyaṃ, atthi ariyasaccaṃ pahātabbaṃ, atthi ariyasaccaṃ sacchikātabbaṃ, atthi ariyasaccaṃ bhāvetabbaṃ."
14367,ucchinna,ucchinnā,sn56.21,paṭhamakoṭigāmasuttaṃ,"ta'y'idaṃ, bhikkhave, dukkhaṃ ariyasaccaṃ anubuddhaṃ paṭividdhaṃ, dukkhasamudayaṃ ariyasaccaṃ anubuddhaṃ paṭividdhaṃ, dukkhanirodhaṃ ariyasaccaṃ anubuddhaṃ paṭividdhaṃ, dukkhanirodhagāminī paṭipadā ariyasaccaṃ anubuddhaṃ paṭividdhaṃ, <b>ucchinnā</b> bhavataṇhā, khīṇā bhavanetti, n'atth'idāni punabbhavo'ti."
16494,upeti 1,,,,
17195,ussāha,ussāho,sn56.34,celasuttaṃ,"āditte, bhikkhave, celaṃ vā sīsaṃ vā ajjhupekkhitvā amanasikaritvā anabhisametānaṃ catunnaṃ ariyasaccānaṃ yathābhūtaṃ abhisamayāya adhimatto chando ca vāyāmo ca <b>ussāho</b> ca ussoḷhī ca appaṭivānī ca sati ca sampajaññañ'ca karaṇīyaṃ."
17887,etarahi,eta'r'ahi,sn56.5,paṭhamasamaṇabrāhmaṇasuttaṃ,"ye hi keci, bhikkhave, <b>eta'r'ahi</b> samaṇā vā brāhmaṇā vā yathābhūtaṃ abhisambojjhanti, sabbe te cattāri ariyasaccāni yathābhūtaṃ abhisambojjhanti."
18095,evamidaṃ,evam'idaṃ,sn56.21,paṭhamakoṭigāmasuttaṃ,"tatra kho bhagavā bhikkhū āmantesi, catunnaṃ, bhikkhave, ariyasaccānaṃ ananubodhā appaṭivedhā <b>evam'idaṃ</b> dīgham'addhānaṃ sandhāvitaṃ saṃsaritaṃ mamañ'c'eva tumhākañ'ca."
20233,kamma 1,,,,
20423,kara 1,karaṇīyo,sn56.1,samādhisuttaṃ,"tasmā't'iha, bhikkhave, idaṃ dukkhan'ti yogo <b>karaṇīyo</b>, ayaṃ dukkhasamudayo'ti yogo karaṇīyo, ayaṃ dukkhanirodho'ti yogo karaṇīyo, ayaṃ dukkhanirodhagāminī paṭipadā'ti yogo karaṇīyo'ti."
20559,karoti 2,karaṇīyo,sn56.1,samādhisuttaṃ,"tasmā't'iha, bhikkhave, idaṃ dukkhan'ti yogo <b>karaṇīyo</b>, ayaṃ dukkhasamudayo'ti yogo <b>karaṇīyo</b>, ayaṃ dukkhanirodho'ti yogo <b>karaṇīyo</b>, ayaṃ dukkhanirodhagāminī paṭipadā'ti yogo <b>karaṇīyo</b>'ti."
21956,kiṃ 1,kiñ'ca,sn56.1,samādhisuttaṃ,kiñ'ca yathābhūtaṃ pajānāti?
22785,kūṭāgāra 1,kūṭ'āgārassa,sn56.44,kūṭāgārasuttaṃ,"seyyathā'pi, bhikkhave, yo evaṃ vadeyya, ahaṃ <b>kūṭ'āgārassa</b> heṭṭhimaṃ gharaṃ akaritvā uparimaṃ gharaṃ āropessāmī'ti, n'etaṃ ṭhānaṃ vijjati, evam'eva kho, bhikkhave, yo evaṃ vadeyya, ahaṃ dukkhaṃ ariyasaccaṃ yathābhūtaṃ anabhisamecca"
23437,khandha 1,khandho,sn56.13,khandhasuttaṃ,"pañcupādānakkhandhātissa vacanīyaṃ, seyyath'īdaṃ, rūp'upādānakkhandho, vedan'upādānakkhandho, saññ'upādānakkhandho, saṅkhār'upādānakkhandho, viññāṇ'upādānak<b>khandho</b>."
23439,khandha 3,,,,
23520,khaya,khayaṃ,sn56.25,āsavakkhayasuttaṃ,"jānatohaṃ, bhikkhave, passato āsavānaṃ <b>khayaṃ</b> vadāmi, no ajānato apassato."
24045,gacchanta,,,,
25530,ghara 1,,,,
27166,cela 2,cela,sn56.34,celasuttaṃ,"āditte, bhikkhave, <b>cela</b> vā sīse vā, kim'assa karaṇīyan'ti?"
28304,jānanta,jānato,sn56.25,āsavakkhayasuttaṃ,"jānatohaṃ, bhikkhave, passato āsavānaṃ khayaṃ vadāmi, no ajānato apassato."
29033,ṭhāna 02,,,,
29404,taṇhāsaṃyojana 1,taṇhāsaṃyojanā,sn56.33,daṇḍasuttaṃ,"seyyathā'pi, bhikkhave, daṇḍo uparivehāsaṃ khitto sakim'pi mūlena nipatati, sakim'pi aggena nipatati, evam'eva kho, bhikkhave, avijjānīvaraṇā sattā <b>taṇhāsaṃyojanā</b> sandhāvantā saṃsarantā sakim'pi asmā lokā paraṃ lokaṃ gacchanti, sakim'pi parasmā lokā imaṃ lokaṃ āgacchanti."
30196,tasseva 2,,,,
32479,diṭṭhi 1,sammādiṭṭhi,sn56.37,paṭhamasūriyasuttaṃ,"evam'eva kho, bhikkhave, bhikkhuno catunnaṃ ariyasaccānaṃ yathābhūtaṃ abhisamayāya etaṃ pubbaṅ'gamaṃ etaṃ pubbanimittaṃ, yadidaṃ <b>sammādiṭṭhi</b>."
32721,dīgha 1,dīgham,sn56.21,paṭhamakoṭigāmasuttaṃ,"tatra kho bhagavā bhikkhū āmantesi, catunnaṃ, bhikkhave, ariyasaccānaṃ ananubodhā appaṭivedhā evam'idaṃ <b>dīgham</b>'addhānaṃ sandhāvitaṃ saṃsaritaṃ mamañ'c'eva tumhākañ'ca."
