id,pali,pos,meaning
527,agāra 2,nt,household life; domestic living
1227,ajjatagge,ind,from today onwards
2696,atthasaṃhita,adj,profitable; meaningful; beneficial
2714,atthavādī 1,adj,who speaks what is beneficial; who says what is meaningful
4411,anuggaha 2.1,masc,support; help; assistance
4524,anuttara,adj,highest (of); unsurpassed (by); incomparable (to); superior (to)
4902,anuppatta 2,pp,attained; achieved
5508,anekapariyāyena,ind,variously; multifariously; in different ways
7141,apphuṭa,pp,unpervaded (with); not suffused (with); not permeated (with)
8200,abhisandeti,pr,fills up; fills to the brim; overflows; drenches
8201,abhisandeti parisandeti paripūreti parippharati,idiom,"douses, drenches, soaks and saturates"
8679,ambho,ind,hey!; yo!; look here!
8757,ayaṃ,pron,this; this person; this thing
8928,arahant,masc,awakened being; fourth stage of the path
9917,assa 4.2,pron,his; of him; its; of it
10868,ahaṃ,pron,I
11333,ācikkhati 2,pr,describes; points out; shows (something to)
13354,icchati 1.1,pr,wishes; wants; desires (to)
13784,imameva,sandhi,this very; this exact same; this here
13798,imaṃ,pron,this; this person; this thing
13818,ime,pron,these
14053,ukkujjeti,pr,turns the right way up
14413,ujuṃ,ind,uprightly; erectly
15178,uddhaccakukkucca,nt,restlessness and fidgetiness; agitation and edginess
15373,upakkilesa,masc,impurity; imperfection; flaw; blemish; corruption
15510,upaṭṭhapetvā 1,abs,having set up; having made sure is present
15966,uparati,fem,abstaining; stopping; ending
16491,upeta 1,pp,endowed (with); possessed (of); having
17376,eka 1,card,one (1)
17855,etad,pron,this
18053,eva 3,ind,even; too; as well
19134,ohita 1,pp,put down; placed down; laid down
19137,ohitabhāra,adj,who has put down the burden; who has laid down the load; epithet of an arahant
19605,katakaraṇīya,adj,who has done the job; who has done what needs to be done; who has fulfilled the obligation; epithet of an arahant
19835,kathaṃkathī,adj,who is confused; who is not sure; who is in doubt
20957,kāma 1,adj,wishing (to); wanting (to); would be delighted (to)
20959,kāma 3,masc,sense desire (of); sensual pleasure (of)
21278,kāyindriya 1,nt,sense of touch; haptic faculty
21448,kālavādī,adj,who speaks at the proper time
21657,kiñci 1,ind,something; anything
22925,ko nu,idiom,what?; why?; what for?; who?
23763,khīṇāsava,adj,who has destroyed the effluents; awakened; epithet of an arahant
24074,gaṇakamoggallāna,masc,name of a Brahman accountant
24184,gata 1,pp,gone (to); went (for)
25610,ghānindriya 1,nt,sense of smell; olfactory faculty
26826,cīvara 1,nt,robe; cloth; robe-cloth
28538,jivhindriya 1,nt,sense of taste; gustatory faculty
28968,ñū 2,adj,knowing; familiar with; understanding; recognizing
29125,ṭhitiyā,fem,for the continuity (of); for the endurance (of); for the longevity (of)
29561,tato 3,ind,from there; from that; from then
30164,tassa 2,pron,of that; his; its
30212,taṃ kiṃ maññasi,idiom,what do you think about that?; what's your opinion on this?
31138,te 2.3,pron,for you; to you
31216,tena 1,pron,with him; by him; with that; by that
31218,tena 3,ind,there
31287,telapajjota,masc,oil-lamp
31315,tesaṃ 1,pron,for them; to them; to those
31316,tesaṃ 2,pron,their; of these; of them; of those
32162,dava 1.1,masc,fun; joke; play; sport; pleasure
32428,diṭṭha 1.1,pp,seen; found; visible
33690,dubbalī,adj,weak; feeble
34631,dhamma 1.06,masc,matter; thing; phenomena
35126,dhāreti 1,pr,holds up; holds out
35128,dhāreti 3,pr,bears in mind; keeps in mind; remembers (something about)
35885,nava 1.1,adj,new; fresh
36019,naṃ,pron,him; her; it; one; that
36427,nāma 2,ind,called; means; by the name of; namely
37294,nidhānavant,adj,worth treasuring; worth recording; worth keeping in the heart
38193,nisinna 1,pp,seated (in)
38615,nīvaraṇa 1,masc,obstacle; obstruction; barrier; hindrance
39376,paccaya 2,masc,cause (for); reason (for); supporting condition (for); requirement (for)
39739,pajjota 1,masc,lamp; lantern
40383,paṭicchanna 2,pp,concealed; hidden; screened
41089,paṭihaṅkhāma,fut,we will destroy; we will put an end (to); we will terminate
43071,paraṃ,ind,after; beyond; on the other side (of)
43257,parikkhīṇabhavasaṃyojana,adj,who has worn away the bonds of being; who has exhausted the fetter of existence; epithet of an arahant
43719,parippharati,pr,saturates; permeates; pervades; completely infuses; spreads everywhere
43897,parimukhaṃ 1,ind,as first priority; to the fore; (comm) directed towards the meditation object
43936,pariyantavant,adj,restricted; within limits; with defined purpose
44094,parisandeti,pr,soaks; steeps; drenches; pervades
44560,pallaṅka 2,masc,cross-legged sitting position; meditation posture
45348,pāṇa 2,masc,life
45349,pāṇa 3,masc,being; living being
45401,pāṇupeta,adj,lifelong; until death
45899,pāsāda,masc,mansion; stately home; palace; building with pillars
46721,puna,ind,again; once more
46722,puna caparaṃ,idiom,and what is more; and so too
46912,pubbārāma,masc,name of a monastery outside Sāvatthī
46920,pubbe 1,ind,before; previously; formerly; in the past
47031,purisa 1,masc,man; male; person
47717,phāsu 1,adj,easy (to); comfortable (for); pleasant (for)
47732,phāsuvihāra,masc,comfortable existence; easy living; living in comfort
48792,byākaroti 1,pr,answers; replies (to)
48850,byāpādapadosa,masc,ill-will and hatred; enmity and aversion
49139,bhagavant 1,masc,Sublime One; Blessed One; Fortunate One; Auspicious One; epithet of the Buddha
49147,bhagavā,masc,Sublime One; Blessed One; Fortunate One; epithet of the Buddha
49558,bhavantaṃ,masc,sir; master; good man (object)
49722,bhāra 1,masc,burden; load; weight
49885,bhikkhu,masc,monk; monastic; mendicant; fully ordained monk
49930,bhikkhusaṅgha,masc,community of monks; monastic order
50009,bhiyyo,ind,more (than); greater than (than); better than (than); superior (to)
50182,bhūtavādī,adj,who speaks what is true
50884,maṇḍanāya,nt,for embellishment; for bulk; for shape
51015,madāya,masc,for intoxication; for indulgence; (comm) for strength
52100,maṃ 1,pron,me (object)
52564,migāramātupāsāda,masc,"name of a monastery outside Sāvatthī, built by Visākhā"
52700,middha 1,nt,drowsiness; sluggishness; lethargy
53089,mūla 1,nt,(of a tree) root; base; foot
53154,mūḷha 2,masc,who is lost; who is disoriented; (comm) who has lost one's bearings
53165,me 3,pron,to me; for me
53308,moggallāna 2,masc,family name
53575,yathā 1,ind,like; as; as per; according to; how; in whatever way
54013,yāva 1,ind,as long as; as far as; so much so; up to; until; from … to
54046,yāvadeva,sandhi,as much as; only as much as; only as far as
55062,rukkhamūla,nt,foot of a tree; base of a tree
57675,satta 1.1,card,seven (7)
57938,sadattha 1.1,masc,highest good; true welfare; spiritual health
59020,sabbāvant,adj,entire; whole; complete
59599,samādāya 2,ger,undertaking; taking up; accepting
59623,samādhi 1,masc,perfect peace of mind; stability of mind; stillness of mind; mental composure
59824,samāhita 1,pp,composed; centred; collected; settled; steadied
61001,saraṇa 1.1,nt,shelter; refuge; help; epithet of Nibbāna
62271,sāpadesa,adj,with reason; reasonable; with grounds; with authority
62659,sāvatthī,fem,name of a city; capital of Kosala
63769,suta 1.1,pp,heard
63818,sutta 1.3,nt,lying down; sleeping
63862,sutvā,abs,having heard; having listened (to)
64953,seyyathāpi,sandhi,just like; as if; imagine if
64962,seyyaṃ kappeti,idiom,makes one's bed; lies down to sleep; sleeps
65082,so 1.1,pron,he; that person; that thing
65257,sotindriya 1,nt,sense of hearing; auditory faculty
66203,vanappattha,nt,forest; woodland plain; (comm) uncultivated land outside the village
68644,vibhūsanāya,nt,for embellishment; for physical appearance
69552,vivarati 1,pr,uncovers; reveals; exposes
69687,vihāra 3,masc,mode of living; way of life; way to spend time; mode of existence
69728,vihiṃsā 1,fem,harm; injury; pain
70035,vutta 2.1,pp,said; told; spoken; mentioned
70118,vusitavant 1,adj,fulfilled; completed; finished; perfected; epithet of an arahant
71212,hi 1,ind,indeed; certainly; truly; definitely
