id,pali,pos,meaning
526,agāra 1,nt,dwelling; building; house; hut
808,aṅgika,adj,consisting of x parts; composed of x factors
1573,aññamañña,pron,mutual; one another; one to another
2397,atīta 2,pp,past; gone past; bygone
2404,atītamaddhānaṃ,ind,in the past; previously
2598,attha 1.2,masc,benefit; profit; good; welfare
2736,atthi 1.1,pr,there is; there exists
3281,adhimatta,adj,extreme; excessive; utmost; intense
3641,ananubodha,masc,non-comprehension (of); misunderstanding (of)
3891,anāgata 2,pp,future
5642,anta 1,masc,end (of); limit (of); finish (of); conclusion (of)
6658,api 1.2,ind,even; even then
6763,appa 2,adj,short; small; insignificant
6863,appaṭivānī,masc,indefatigably; zeal; tireless determination; resolute intention
6960,appamattaka 1,adj,small; tiny; minute; insignificant
8575,amu,pron,(of person or place or thing) that; such; so and so
9019,ariyasacca,nt,truth of the Buddha; noble truth
9915,assa 3.1,opt,may be; could be; should be; would be; could become
13822,imesaṃ 2,pron,of these; their
14367,ucchinna,pp,broken off; cut off; severed
16494,upeti 1,pr,comes; approaches; enters
17195,ussāha,masc,effort; activity; perseverance; strenuous and continuous exertion; energy
17887,etarahi,ind,now; at present
18095,evamidaṃ,sandhi,thus this
20233,kamma 1,nt,action; deed; doing
20423,kara 1,adj,doing; making
20559,karoti 2,pr,makes
21956,kiṃ 1,pron,who?; what?; which?
22785,kūṭāgāra 1,nt,building with a peaked roof
23437,khandha 1,masc,mass; heap; pile; volume; aggregation
23439,khandha 3,masc,aggregate; combination; conglomeration; bundle
23520,khaya,masc,wearing away (of); exhaustion (of); erosion (of); depletion (of); destruction (of)
24045,gacchanta,prp,going; walking; travelling
25530,ghara 1,nt,house; home; household
27166,cela 2,nt,clothes; garment
28304,jānanta,prp,knowing; being aware (of)
29033,ṭhāna 02,nt,reason; grounds; basis; cause
29404,taṇhāsaṃyojana 1,adj,fettered by craving; bound by desire
30196,tasseva 2,sandhi,of that very; of that exact; of the same
32479,diṭṭhi 1,fem,view; belief; opinion; concept; theory; attitude; philosophy; credo; creed; dogma
32721,dīgha 1,adj,long (in space or time); tall; deep
32750,dīghamaddhānaṃ,ind,for a long time
35540,natthi 1,pr,is not; it is not; there is not; there is no; there is nothing
35708,nappajānāti,pr,does not know; does not clearly understand; does not distinguish
37615,nibbāpana 1,nt,(of fire) extinguishing; quenching; putting out
37660,nibbidā,fem,dis-enchantment (towards); de-illusionment (with); disinterest (in); dispassion (towards)
38739,netaṃ ṭhānaṃ vijjati,idiom,this is impossible; this is illogical; this is not plausible
38883,no 1.1,ind,no; not
40072,paññāyati 1,pr,is clearly known; is evident; is perceived; there is
43900,parimuccati,pr,is completely freed (from); is totally liberated (from); escapes (from)
45383,pāṇi 1,masc,hand; palm
45441,pātu,ind,in front; visible; open
47001,purima 1,adj,earlier; past; former; previous
47464,ponobhavika,adj,leading to repeated existence; leading to rebirth
48273,bāla 2,masc,fool; idiot; immature person
48903,brahma 1,masc,God; creator god
49846,bhāvetabba,ptp,should be cultivated; should be developed
49849,bhāveti,pr,cultivates; develops
50151,bhūta 04,pp,become; born
51943,mahāsamudda,masc,great sea; vast ocean
53973,yāni,pron,whichever (things)
54208,yo,pron,whoever; whatever; whichever
54851,rāja 1,masc,king; sovereign; lord; ruler
55331,rūpupādānakkhandha,masc,accumulation of matter that is clung to
55972,loka 1,masc,world; universe; cosmos
56819,saṅkhārupādānakkhandha,masc,accumulation of mental activity that is clung to
57122,sacca 2,nt,truth; epithet of Nibbāna
57474,saññupādānakkhandha,masc,accumulation of recognition that is clung to; mass of recognised concepts that are grasped
57676,satta 2.1,masc,being; living being; creature
58457,sandhāvanta,prp,transmigrating; drifting
58771,sabba 1,pron,all; every
59062,sabrahmaka,adj,including god; with Brahma
59177,samaṇa 1,masc,ascetic; renunciant; holy man; monk; recluse
59215,samaṇabrāhmaṇā,masc,ascetics and Brahmans; monks and priests
60048,samudda,masc,sea; ocean
60293,sampanna 3,pp,endowed (with); possessing; full (of); having; with lots (of) who embodies
60590,sambuddha 1,masc,Awakened One; Buddha; who is wide awake; who has completely understood
61369,sahagata,adj,filled (with); accompanied (by); connected (with); associated (with)
61773,saṃsaranta,prp,wandering on; moving on continuously; transmigrating
61776,saṃsarita 2,nt,wandering on; transmigration
67615,vijjati 1,pr,exists (in); is found (in); is present (in)
67758,viññāṇupādānakkhandha,masc,conglomeration of consciousness that is clung to; aggregate of awareness that is grasped
68603,vibhava 2,masc,nonexistence; annihilation; extermination
68871,virāga 1.1,masc,fading of desire (for); dispassion (towards); detachment (from); indifference (to)
70293,vedanupādānakkhandha,masc,accumulation of feeling that is clung to
