id,pali,selected_pali_word,class_source,extra,class_example,english_translation,Class
7751,abhidā,,,,,,
11283,ācarita,,,,,,
3053,adhamma 1,,,,,,
9899,asma,,,,,,
5194,anusaññātuṃ,anusaññātuṃ,AN2.40,,"yasmiṃ, bhikkhave, samaye rājāno balavanto honti, corā tasmiṃ samaye dubbalā honti. tasmiṃ, bhikkhave, samaye rañño phāsu hoti atiyātuṃ vā niyyātuṃ vā paccantime vā janapade <b>anusaññātuṃ</b>.","At whichever time kings are strong, robbers are weak. At that time it is easy for the king to re-enter or to go out and to visit the outlying districts.",
2262,atiyātuṃ,atiyātuṃ,AN2.40,,"yasmiṃ, bhikkhave, samaye rājāno balavanto honti, corā tasmiṃ samaye dubbalā honti. tasmiṃ, bhikkhave, samaye rañño phāsu hoti <b>atiyātuṃ</b> vā niyyātuṃ vā paccantime vā janapade anusaññātuṃ.","At whichever time kings are strong, robbers are weak. At that time it is easy for the king to re-enter or to go out and to visit the outlying districts.",
33673,dubbala 1,dubbalā,AN2.40,,"yasmiṃ, bhikkhave, samaye rājāno balavanto honti, corā tasmiṃ samaye <b>dubbalā</b> honti. tasmiṃ, bhikkhave, samaye rañño phāsu hoti atiyātuṃ vā niyyātuṃ vā paccantime vā janapade anusaññātuṃ.","At whichever time kings are strong, robbers are weak. At that time it is easy for the king to re-enter or to go out and to visit the outlying districts.",
27872,janapada,janapade,AN2.40,,"yasmiṃ, bhikkhave, samaye rājāno balavanto honti, corā tasmiṃ samaye dubbalā honti. tasmiṃ, bhikkhave, samaye rañño phāsu hoti atiyātuṃ vā niyyātuṃ vā paccantime vā <b>janapade</b> anusaññātuṃ.","At whichever time kings are strong, robbers are weak. At that time it is easy for the king to re-enter or to go out and to visit the outlying districts.",
37941,niyyātuṃ,niyyātuṃ,AN2.40,,"yasmiṃ, bhikkhave, samaye rājāno balavanto honti, corā tasmiṃ samaye dubbalā honti. tasmiṃ, bhikkhave, samaye rañño phāsu hoti atiyātuṃ vā <b>niyyātuṃ</b> vā paccantime vā janapade anusaññātuṃ.","At whichever time kings are strong, robbers are weak. At that time it is easy for the king to re-enter or to go out and to visit the outlying districts.",
39364,paccantima,paccantime,AN2.40,,"yasmiṃ, bhikkhave, samaye rājāno balavanto honti, corā tasmiṃ samaye dubbalā honti. tasmiṃ, bhikkhave, samaye rañño phāsu hoti atiyātuṃ vā niyyātuṃ vā <b>paccantime</b> vā janapade anusaññātuṃ.","At whichever time kings are strong, robbers are weak. At that time it is easy for the king to re-enter or to go out and to visit the outlying districts.",
47717,phāsu 1,phāsu,AN2.40,,"yasmiṃ, bhikkhave, samaye rājāno balavanto honti, corā tasmiṃ samaye dubbalā honti. tasmiṃ, bhikkhave, samaye rañño <b>phāsu</b> hoti atiyātuṃ vā niyyātuṃ vā paccantime vā janapade anusaññātuṃ.","At whichever time kings are strong, robbers are weak. At that time it is easy for the king to re-enter or to go out and to visit the outlying districts.",
53841,yasmiṃ 1,yasmiṃ,AN2.40,,"<b>yasmiṃ</b>, bhikkhave, samaye rājāno balavanto honti, corā tasmiṃ samaye dubbalā honti. tasmiṃ, bhikkhave, samaye rañño phāsu hoti atiyātuṃ vā niyyātuṃ vā paccantime vā janapade anusaññātuṃ.","At whichever time kings are strong, robbers are weak. At that time it is easy for the king to re-enter or to go out and to visit the outlying districts.",
77762,yasmiṃ tasmiṃ,yasmiṃ,AN2.40,,"<b>yasmiṃ</b>, bhikkhave, samaye rājāno balavanto honti, corā <b>tasmiṃ</b> samaye dubbalā honti. tasmiṃ, bhikkhave, samaye rañño phāsu hoti atiyātuṃ vā niyyātuṃ vā paccantime vā janapade anusaññātuṃ.","At whichever time kings are strong, robbers are weak. At that time it is easy for the king to re-enter or to go out and to visit the outlying districts.",
51705,mahācora,mahācoro,AN3.51,yes,"idha, bhikkhave, <b>mahācoro</b> rājānaṃ vā rājamahāmattānaṃ vā nissito hoti.","Here, monks, a master thief is dependent on kings or the royal ministers.",
51872,mahāmatta,rājamahāmattānaṃ,AN3.51,yes,"idha, bhikkhave, mahācoro rājānaṃ vā rāja<b>mahāmattānaṃ</b> vā nissito hoti.","Here, monks, a master thief is dependent on kings or the royal ministers.",
38340,nissita 1,nissito,AN3.51,yes,"idha, bhikkhave, mahācoro rājānaṃ vā rājamahāmattānaṃ vā <b>nissito</b> hoti.","Here, monks, a master thief is dependent on kings or the royal ministers.",
54927,rājamahāmatta,rājamahāmattānaṃ,AN3.51,yes,"idha, bhikkhave, mahācoro rājānaṃ vā <b>rājamahāmattānaṃ</b> vā nissito hoti.","Here, monks, a master thief is dependent on kings or the royal ministers.",
8576,amuka,,AN3.71,yes,"gopālako sāyanhasamaye sāmikānaṃ gāvo niyyātetvā iti paṭisañcikkhati: ""ajja kho gāvo <b>amukasmiñ</b>'ca <b>amukasmiñ</b>'ca padese cariṃsu""","In the evening, a young cowherd, having handed over the cattle to the owners, reflects thus: “Today, indeed, the cattle grazed in this place and in that place…”",
26295,cari 1.1,cariṃsu,AN3.71,yes,"gopālako sāyanhasamaye sāmikānaṃ gāvo niyyātetvā iti paṭisañcikkhati: ""ajja kho gāvo amukasmiñ'ca amukasmiñ'ca padese <b>cariṃsu</b>""","In the evening, a young cowherd, having handed over the cattle to the owners, reflects thus: “Today, indeed, the cattle grazed in this place and in that place…”",
73798,gāvo 2,gāvo,AN3.71,yes,"gopālako sāyanhasamaye sāmikānaṃ <b>gāvo</b> niyyātetvā iti paṭisañcikkhati: ""ajja kho gāvo amukasmiñ'ca amukasmiñ'ca padese cariṃsu""","In the evening, a young cowherd, having handed over the cattle to the owners, reflects thus: “Today, indeed, the cattle grazed in this place and in that place…”",
