id,pali,selected_pali_word,class_source,extra,class_example,english_translation,Class
32149,dassī 2,,DHP76 (simpl) ,yes,"nidhīnaṃ va pavattāraṃ, vajja<b>dassinaṃ</b>  niggayhavādiṃ medhāviṃ paṇḍitaṃ bhajāhi","Associate with an intelligent person, a wise man, one who reproves, who sees fault, he is (like) one who points out the treasure.",
21132,kāya 1.2,,AN4.171,yes,sattā tamhā <b>kāyā</b> cutā āgāmino honti āgantāro itthattaṃ,"Living beings [who] have passed away from that group are returners, who come back to this existence.",
49918,bhikkhuno 2,,AN8.79,,ime bhikkhave dhammā sekhassa <b>bhikkhuno</b> aparihānāya saṃvattanti.,"These things, o monks, are conducive for the non-decline of a monk who is a trainee.",
50382,bhojana 2,,MN107,,ehi tvaṃ bhikkhu <b>bhojane</b> mattaññū hohi,"Come, monk, be moderate with regard to food!",
23956,khemī,,SNP8,,"sukhino vā <b>khemino</b> hontu, sabbe sattā bhavantu sukhit'attā","May all living beings be safe or at ease, may they be happy.",
44739,passati 2,,DHP277 ,,"sabbe dhammā anattā iti, yadā paññāya <b>passati</b>, atha nibbindati dukkhe – esa maggo visuddhiyā","“All things are non-self.” When one sees [this] with wisdom, then one is disenchanted with suffering. This is the path for purification.",
58994,sabbavidū 1,,SN21.10 (simpl) ,,"sabb'ābhibhuṃ <b>sabbaviduṃ</b> sumedhaṃ, tam naraṃ ekavihārī iti ahaṃ brūmi","[One who is] all-conquering, all-knowing, wise, that man I call thus, “one who dwells alone.” ",
63572,sukhī 2,,SNP8,,"<b>sukhino</b> vā khemino hontu, sabbe sattā bhavantu sukhit'attā","May all living beings be safe or at ease, may they be happy.",
67983,vidū 1,,SN21.10 (simpl) ,,"sabb'ābhibhuṃ sabba<b>viduṃ</b> sumedhaṃ, tam naraṃ ekavihārī iti ahaṃ brūmi","[One who is] all-conquering, all-knowing, wise, that man I call thus, “one who dwells alone.” ",
1064,acchādeti 1.1,acchādessati,VIN PAT NP 10,yes,"yaṃ kho, bhante, āyasmā veyyāvaccakaraṃ niddisi, saññatto so mayā, upasaṅkamatu āyasmā kālena, cīvarena taṃ <b>acchādessati</b>","Indeed, venerable sir, the steward whom the venerable one has indicated has been instructed by me; let the venerable one approach him at a suitable time; he will clothe you with a robe.",
3145,adhigacchati 1,adhigacchati,AN5.37,,sukhassa dātā medhāvī sukhaṃ so <b>adhigacchati</b>,"The intelligent man [who is] a giver of happiness, acquires happiness.",
11229,āgāmī 1,āgāmino,AN4.171,yes,sattā tamhā kāyā cutā <b>āgāmino</b> honti āgantāro itthattaṃ,"Living beings [who] have passed away from that group are returners, who come back to this existence.",
11178,āgantar 2,āgantāro,AN4.171,yes,sattā tamhā kāyā cutā āgāmino honti <b>āgantāro</b> itthattaṃ,"Living beings [who] have passed away from that group are returners, who come back to this existence.",
1225,ajja,ajja,MN131 (simpl),yes,"<b>ajja</b> eva ātappaṃ karohi, ko jānāti maraṇaṃ suve",Just make an effort today; who knows [if] death [is] tomorrow?,
3544,anatta 1,anattā,DHP277,,"sabbe dhammā <b>anattā</b> iti, yadā paññāya passati, atha nibbindati dukkhe – esa maggo visuddhiyā","“All things are non-self.” When one sees [this] with wisdom, then one is disenchanted with suffering. This is the path for purification.",
3872,anavasesa 1,anavasesā,SNP9,,"ye keci pāṇabhūtā atthi, tasā vā thāvarā vā <b>anavasesā</b>","Whatever living beings there are, whether moving or not moving without exception.",
4127,anicca 1,aniccaṃ,MN147,,"taṃ kiṃ maññasi, rāhula, cakkhu niccaṃ vā <b>aniccaṃ</b> vā'ti","What do you think, Rāhula, “Is the eye permanent or impermanent?”",
1536,aññatra 2,aññatra,VIN PAT PC 7,yes,"bhikkhu mātugāmassa uttarichappañcavācāhi dhammaṃ deseti, <b>aññatra</b> viññunā purisaviggahena, pācittiyaṃ.","[If any] monk expounds Dhamma to a woman by means of more than five or six sentences, except [together] with a knowledgeable male, [it is] an offence requiring confession.",
5680,antaraghara 1,antaraghare,VIN PAT SK 18 (simpl),,na bāhuṃ pacālakaṃ <b>antaraghare</b> nisīdissāmi,I will not sit in an inhabited area swinging [my] arm[s].,
11839,āpajjati 5,āpajjissati,VIN PAT NP 8 simpl,,"ce so bhikkhu, pubbe appavārito, upasaṅkamissati cīvare vikappaṃ <b>āpajjissati</b>","If that monk, previously uninvited, approaches [there], causes an alteration in a robe",
6447,aparihāna,aparihānāya,AN8.79,,ime bhikkhave dhammā sekhassa bhikkhuno <b>aparihānāya</b> saṃvattanti.,"These things, o monks, are conducive for the non-decline of a monk who is a trainee.",
7057,appavārita,appavārito,VIN PAT NP 8 (simpl),,"ce so bhikkhu, pubbe <b>appavārito</b>, upasaṅkamissati cīvare vikappaṃ āpajjissati","If that monk, previously uninvited, approaches [there], causes an alteration in a robe",
8847,araññagata 1,araññagato,MN118,,bhikkhu <b>araññagato</b> vā rukkhamūlagato vā suññāgāragato vā nisīdati.,"A monk, gone to the forest or to the foot of a tree or to an empty dwelling, sits down.",
10106,assutavant,assutavā,MN2.2,,"bhikkhave, <b>assutavā</b> puthujjano na parimuccati jātiyā","Monks, an unlearned common person is not liberated from birth.",
11459,ātappa,ātappaṃ,MN131 (simpl),yes,"ajja eva <b>ātappaṃ</b> karohi, ko jānāti maraṇaṃ suve",Just make an effort today; who knows [if] death [is] tomorrow?,
2794,atha 1,atha,DN16.7,,<b>atha</b> kho āyasmato ānandassa etad'ahosi,"Then, this [thought] occurred to Venerable Ananda",
2825,atho,atho,SN7.15 (simpl),yes,"mātari pitari ca, <b>atho</b> jeṭṭhamhi bhātari. ācariye ca, tesu na mānaṃ karohi.","Towards mother and father, and after that, towards the eldest brother; and towards the teacher. Do not show conceit towards them.",
2737,atthi 1.2,atthi,SNP9,,"ye keci pāṇabhūtā <b>atthi</b>, tasā vā thāvarā vā anavasesā","Whatever living beings there are, whether moving or not moving without exception.",
10198,avacuttha,avacuttha,VIN1.2.12,,mā maṃ āyasmanto kiñci <b>avacuttha</b> kalyāṇaṃ vā pāpakaṃ vā,"Venerables, don't say anything to me, good or bad!",
52122,mā avacuttha,avacuttha,VIN1.2.12,,mā maṃ āyasmanto kiñci <b>avacuttha</b> kalyāṇaṃ vā pāpakaṃ vā,"Venerables, don't say anything to me, good or bad!",
