id,pali,pos,meaning
181,akāsi 1,aor,did; performed
504,agamissa,cond,would have fallen into; would have become
1222,ajeḷakā,masc,goats and sheep
2517,attabhāva 2,masc,incarnation; personal existence; individual form; physical identity
2519,attabhāvapaṭilābha,masc,physical incarnation; individual existence; acquisition of individual identity
2878,adāsi,aor,gave (to); offered (to)
2970,addakkhu,imperf,they saw
2978,addasuṃ,aor,they saw
4109,aniketa,adj,homeless
4110,aniketacārī,adj,wandering homeless; roaming without an abode
4664,anupadajjeyya 2,opt,could give; should hand over
4935,anuppavecchati,pr,gives; bestows; offers support
4991,anubrūhayati,pr,fosters; nurtures; develops; cultivates; increases
5848,antopūti,adj,rotten inside; corrupt
6237,apabodheti,pr,avoids; shies away (from); draws away (from); keeps clear (of); is wary (of)
6375,aparipūra,adj,incomplete (in); deficient (in); lacking (in); unfulfilled (in)
7084,appātaṅkatā,fem,health; wellness; well-being
7088,appābādhatā,fem,good health; healthiness
7131,appeva,sandhi,it is likely that; perhaps; maybe; hopefully; if only; please may; it would be good
7132,appeva nāma,idiom,it would be good if; perhaps; hopefully; if only
7319,abbhuggañchi,aor,arose (into); rose up (into); flew up (into)
7502,abhavissa,cond,(if) would be; could have been
7503,abhavissaṃsu,cond,(if) they would have been; (if) those would be
8451,amaññissaṃ,aor,I thought; I imagined; I presumed; I supposed
8509,amanussa 1,masc,deity; god; daemon; ghost
8511,amanussaggāha,masc,capture by non-human beings; possession by spirits
8740,ayamahamasmi,sandhi,I am this
8741,ayamahamasmīti,sandhi,'I am this'
9319,asaṅkuppa,ptp,immovable; unshakeable; steady
9667,asaṃhira,ptp,unmovable; unshakeable; unassailable (by)
9759,asissaṃ,fut,I myself will eat
9760,asissāmi,fut,I will eat
9819,asubhataddasa,aor,saw as ugly; perceived as unattractive
9821,asubhato,ind,as ugly; as disgusting; as unattractive
9912,assa 1.1,masc,horse
10618,avipariṇāma,adj,unchanging; not altering
11301,ācariyabhariyā,fem,teacher's wife
12182,āya 1.1,masc,coming in; income; entrance
12235,āyamukha,nt,inflow; income; entrance
12436,ārādhaka 1,adj,successful; accomplished
12961,āvaṭṭaggāha,masc,clutch of a whirlpool; sucked in by a whirlpool
14479,ujjhāyanta,prp,finding fault; thinking badly of
14511,uṭṭhāna 1,nt,waking up; getting up; rising
15396,upagacchati 1,pr,veers towards; swerves towards
15471,upaccaguṃ,imperf,they overcame; they transcended
15500,upaññissati,fut,will explain; will teach
15501,upaññissaṃ,fut,I myself will explain; I will teach
17209,ussīdati,pr,rises up (onto); washes up (onto); runs aground (on)
17749,ekāsana 3,nt,one sitting; one time
17933,ettaka,adj,so much; this much; so long
17955,etha,imp,come you all!
18062,evañca,sandhi,and thus; if like this; but like this
18095,evamidaṃ,sandhi,thus this
18857,orima,adj,nearest; closest (shore)
19649,katamanussaranta,prp,remembering what was done
19926,kadā,ind,when?
20737,kasā,fem,whip; crop; lash
21666,kiñcimatta,nt,little something; small gift; trifle
