32 marks of a great man	32 отметки великого человека
Sanskritisms	Санскритизмы
Sri Lanka	Шри-Ланка
abbreviations	сокращения
animals	животные
astronomical terms	астрономические термины
bhikkhupātimokkha rules	правила Бхиккху Патимоккхи
bodyparts	части тела
books of the Abhidhamma	книги Абхидхаммы
books of the Aṅguttara Nikāya	книги Ангуттара Никаи
books of the Dīgha Nikāka	книги Дигха Никаи
books of the Ittivuttaka	книги Иттивуттаки
books of the Khuddaka Nikāya	книги Кхуддака Никаи
books of the Majjhima Nikāya	книги Маджхима Никаи
books of the Saṃyutta Nikāya	книги Самьютта Никаи
books of the Suttapiṭaka	книги Суттапитаки
books of the Vinayapiṭaka	книги Винаяпитаки
cardinal numbers	количественные числительные
cattāro oghā	cattāro oghā
chapters of the Jātakas	главы Джатак
chapters of the Majjhima Nikāya	главы Маджхима Никаи
chapters of the Saṃyutta Nikāya	главы Самьютта Никаи
chapters of the Sutta Nipāta	главы Сутта-Нипаты
chapters of the Theragāthā	главы Тхерагатхи
chapters of the Therīgāthā	главы Тxеригатхи
chief disciples	главные ученики
collections of the Saṃyutta Nikāya	собрания Самьютта-никаи
colours	цвета
commentaries	комментарии
conjugational signs	признаки спряжения
days of the week	дни недели
diseases	болезни
doctrines	доктрины
dyes	красители
epithets of Māra	эпитеты Мары
epithets of Nibbāna	эпитеты Ниббаны
epithets of Sakka	эпитеты Сакки
epithets of arahants	эпитеты архатов
epithets of devas	эпитеты дэвов
epithets of stream entry	эпитеты вхождения в поток
epithets of the Buddha	эпитеты Будды
families of serpents	семейства змей
family members	члены семьи
family names	фамилии
five Mārā	пять видов Мары
five aggregates	пять агрегатов
five eyes	пять глаз
five hindrances	пять препятствий
five liberations	пять освобождений
foodstuff	продукты питания
formless attainments	нематериальные достижения
four bonds	четыре облигации
four modes of generation	четыре вида происхождения
fractions	дроби
grammars	книги грамматики
grammatical terms	грамматические термины
great disciples	великие ученики
holy sites	святые места
indeclinables	несклоняемые
items in a numerical list	элементы в числовом списке
jātaka characters	персонажи джатак
letters	буквы
materials	материалы
measures of height	меры высоты
measures of length	меры длины
measures of time	меры времени
measures of volume	меры объема
measures of weight	меры веса
medicines	лекарства
mita guṇa	измеренные качества
money	деньги
months of the lunar year	месяцы лунного года
musical instruments	музыкальные инструменты
musical notes	музыкальные ноты
names of Brahmans	имена брахманов
names of animals	имена животных
names of arahants	имена арахантов
names of ascetics	имена подвижников
names of books	названия книг
names of continents	названия континентов
names of countries	названия стран
names of deities	имена божеств
names of heavens	названия райских миров
names of hells	названия адов
names of laypeople	имена мирян
names of monasteries	названия монастырей
names of monks	имена монахов
names of mountains	названия гор
names of nuns	имена монахинь
names of paccekabuddhas	имена паччекабудд
names of people	имена людей
names of rivers	названия рек
names of royalty	имена королевских особ
nine attainments	девять достижений
nine types of suttas	девять типов сутт
noble paths and fruits	благородные пути и плоды
occupations	занятия
onomatopoeia	звукоподражание
ordinal numbers	порядковые номера
parts of the Dīgha Nikāka	части Дигха-никаи
parts of the Majjhima Nikāya	части Мадджхима-никаи
parts of the Saṃyutta Nikāya	части Самьютта-никаи
people	люди
place names	географические названия
plants	растения
prefixes	приставки
previous Buddhas	предыдущие Будды
previous incarnations of Mahākassapa	предыдущие воплощения Махакассапы
previous incarnations of Moggallāna	предыдущие воплощения Моггалланы
previous incarnations of Sāriputta	предыдущие воплощения Сарипутты
previous incarnations of the Buddha	предыдущие воплощения Будды
previous incarnations of Ānanda	предыдущие воплощения Ананды
pronouns	местоимения
pureland deities	божества Чистой Земли
root groups	группы корней
saṃyuttas of the Saṃyutta Nikāya	самьютты Самьютта-никаи
seasons	сезоны
sections of the Saṃyutta Nikāya	разделы Самьютта Никаи
sections of the Vinaya	разделы Винаи
seven grains	семь типов зерен
seven treasures	семь сокровищ
six ascetic teachers	шесть учителей-аскетов
six types of robe cloth	шесть типов ткани на одеяние
suffixes	суффиксы
suttas of Saṃyutta Nikāya 1	сутты Самьютта-Никаи 1
suttas of Saṃyutta Nikāya 10	сутты Самьютта-Никаи 10
suttas of Saṃyutta Nikāya 11	сутты Самьютта-Никаи 11
suttas of Saṃyutta Nikāya 12	сутты Самьютта-Никаи 12
suttas of Saṃyutta Nikāya 13	сутты Самьютта-Никаи 13
suttas of Saṃyutta Nikāya 14	сутты Самьютта-Никаи 14
suttas of Saṃyutta Nikāya 15	сутты Самьютта-Никаи 15
suttas of Saṃyutta Nikāya 16	сутты Самьютта-Никаи 16
suttas of Saṃyutta Nikāya 17	сутты Самьютта-Никаи 17
suttas of Saṃyutta Nikāya 18	сутты Самьютта-Никаи 18
suttas of Saṃyutta Nikāya 19	сутты Самьютта-Никаи 19
suttas of Saṃyutta Nikāya 2	сутты Самьютта-Никаи 2
suttas of Saṃyutta Nikāya 20	сутты Самьютта-Никаи 20
suttas of Saṃyutta Nikāya 21	сутты Самьютта-Никаи 21
suttas of Saṃyutta Nikāya 22	сутты Самьютта-Никаи 22
suttas of Saṃyutta Nikāya 23	сутты Самьютта-Никаи 23
suttas of Saṃyutta Nikāya 24	сутты Самьютта-Никаи 24
suttas of Saṃyutta Nikāya 25	сутты Самьютта-Никаи 25
suttas of Saṃyutta Nikāya 26	сутты Самьютта-Никаи 26
suttas of Saṃyutta Nikāya 27	сутты Самьютта-Никаи 27
suttas of Saṃyutta Nikāya 28	сутты Самьютта-Никаи 28
suttas of Saṃyutta Nikāya 29	сутты Самьютта-Никаи 29
suttas of Saṃyutta Nikāya 3	сутты Самьютта-Никаи 3
suttas of Saṃyutta Nikāya 30	сутты Самьютта-Никаи 30
suttas of Saṃyutta Nikāya 31	сутты Самьютта-Никаи 31
suttas of Saṃyutta Nikāya 32	сутты Самьютта-Никаи 32
suttas of Saṃyutta Nikāya 33	сутты Самьютта-Никаи 33
suttas of Saṃyutta Nikāya 34	сутты Самьютта-Никаи 34
suttas of Saṃyutta Nikāya 35	сутты Самьютта-Никаи 35
suttas of Saṃyutta Nikāya 36	сутты Самьютта-Никаи 36
suttas of Saṃyutta Nikāya 37	сутты Самьютта-Никаи 37
suttas of Saṃyutta Nikāya 38	сутты Самьютта-Никаи 38
suttas of Saṃyutta Nikāya 39	сутты Самьютта-Никаи 39
suttas of Saṃyutta Nikāya 4	сутты Самьютта-Никаи 4
suttas of Saṃyutta Nikāya 40	сутты Самьютта-Никаи 40
suttas of Saṃyutta Nikāya 41	сутты Самьютта-Никаи 41
suttas of Saṃyutta Nikāya 42	сутты Самьютта-Никаи 42
suttas of Saṃyutta Nikāya 43	сутты Самьютта-Никаи 43
suttas of Saṃyutta Nikāya 44	сутты Самьютта-Никаи 44
suttas of Saṃyutta Nikāya 45	сутты Самьютта-Никаи 45
suttas of Saṃyutta Nikāya 46	сутты Самьютта-Никаи 46
suttas of Saṃyutta Nikāya 47	сутты Самьютта-Никаи 47
suttas of Saṃyutta Nikāya 48	сутты Самьютта-Никаи 48
suttas of Saṃyutta Nikāya 49	сутты Самьютта-Никаи 49
suttas of Saṃyutta Nikāya 5	сутты Самьютта-Никаи 5
suttas of Saṃyutta Nikāya 50	сутты Самьютта-Никаи 50
suttas of Saṃyutta Nikāya 51	сутты Самьютта-Никаи 51
suttas of Saṃyutta Nikāya 52	сутты Самьютта-Никаи 52
suttas of Saṃyutta Nikāya 53	сутты Самьютта-Никаи 53
suttas of Saṃyutta Nikāya 54	сутты Самьютта-Никаи 54
suttas of Saṃyutta Nikāya 55	сутты Самьютта-Никаи 55
suttas of Saṃyutta Nikāya 56	сутты Самьютта-Никаи 56
suttas of Saṃyutta Nikāya 6	сутты Самьютта-Никаи 6
suttas of Saṃyutta Nikāya 7	сутты Самьютта-Никаи 7
suttas of Saṃyutta Nikāya 8	сутты Самьютта-Никаи 8
suttas of Saṃyutta Nikāya 9	сутты Самьютта-Никаи 9
suttas of the Aṅguttara Nikāya 10	сутты Ангуттара Никаи 10
suttas of the Aṅguttara Nikāya 11	сутты Ангуттара Никаи 11
suttas of the Aṅguttara Nikāya 2	сутты Ангуттара Никаи 2
suttas of the Aṅguttara Nikāya 3	сутты Ангуттара Никаи 3
suttas of the Aṅguttara Nikāya 4	сутты Ангуттара Никаи 4
suttas of the Aṅguttara Nikāya 5	сутты Ангуттара Никаи 5
suttas of the Aṅguttara Nikāya 6	сутты Ангуттара Никаи 6
suttas of the Aṅguttara Nikāya 7	сутты Ангуттара Никаи 7
suttas of the Aṅguttara Nikāya 8	сутты Ангуттара Никаи 8
suttas of the Aṅguttara Nikāya 9	сутты Ангуттара Никаи 9
suttas of the Dīgha Nikāya	сутты Дигха Никаи
suttas of the Itivuttaka	сутты Итивуттаки
suttas of the Jātaka	сутты Джатаки
suttas of the Khuddakapāṭha	сутты Кхуддакапатхи
suttas of the Majjhima Nikāya	сутты Маджджхима Никаи
suttas of the Petavatthu	сутты Петаваттху
suttas of the Saṃyutta Nikāya	сутты Самьютта Никаи
suttas of the Sutta Nipāta	сутты Сутта Нипаты
suttas of the Theragāthā	сутты Тхерагатхи
suttas of the Therīgāthā	сутты Тхеригатхи
suttas of the Udāna	сутты Уданы
suttas of the Vimānavatthu	сутты Виманаватту
tastes	вкусы
ten kinds of wives	десять типов жен
three daughters of Mara	три дочери Мары
three eyes	три типа видения
three realms of existence	три сферы существования
tortures	пытки
trees	деревья
types of ariyas	типы ариев
types of ariyas.	типы арьев
types of ascetics	типы аскетов
types of elephants	виды слонов
types of lightning	типы молний
types of monastics	типы монашества
types of supernatural beings	типы сверхъестественных существ
types of suttas	типы сутт
vaggas of Aṅguttara Nikāya 1	вагги Ангуттара-никаи 1
vaggas of Aṅguttara Nikāya 10	вагги Ангуттара-никаи 10
vaggas of Aṅguttara Nikāya 11	вагги Ангуттара-никаи 11
vaggas of Aṅguttara Nikāya 2	вагги Ангуттара-никаи 2
vaggas of Aṅguttara Nikāya 3	вагги Ангуттара-никаи 3
vaggas of Aṅguttara Nikāya 4	вагги Ангуттара-никаи 4
