source	web_link
nidānuddeso	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/nidānuddeso/nidānuddeso.html
pārājikuddeso	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/pārājikuddeso/pārājikuddeso.html
methunadhamma sikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/methunadhamma sikkhāpadaṃ/methunadhamma sikkhāpadaṃ.html
adinnādānasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/adinnādānasikkhāpadaṃ/adinnādānasikkhāpadaṃ.html
manussaviggahasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/manussaviggahasikkhāpadaṃ/manussaviggahasikkhāpadaṃ.html
uttarimanussadhammasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/uttarimanussadhammasikkhāpadaṃ/uttarimanussadhammasikkhāpadaṃ.html
saṅghādisesuddeso	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/saṅghādisesuddeso/saṅghādisesuddeso.html
sukkavissaṭṭhisikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/sukkavissaṭṭhisikkhāpadaṃ/sukkavissaṭṭhisikkhāpadaṃ.html
kāyasaṃsaggasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/kāyasaṃsaggasikkhāpadaṃ/kāyasaṃsaggasikkhāpadaṃ.html
duṭṭhullavācāsikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/duṭṭhullavācāsikkhāpadaṃ/duṭṭhullavācāsikkhāpadaṃ.html
attakāmapāricariyasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/attakāmapāricariyasikkhāpadaṃ/attakāmapāricariyasikkhāpadaṃ.html
sañcarittasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/sañcarittasikkhāpadaṃ/sañcarittasikkhāpadaṃ.html
kuṭikārasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/kuṭikārasikkhāpadaṃ/kuṭikārasikkhāpadaṃ.html
vihārakārasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/vihārakārasikkhāpadaṃ/vihārakārasikkhāpadaṃ.html
duṭṭhadosasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/duṭṭhadosasikkhāpadaṃ/duṭṭhadosasikkhāpadaṃ.html
aññabhāgiyasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/aññabhāgiyasikkhāpadaṃ/aññabhāgiyasikkhāpadaṃ.html
saṅghabhedasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/saṅghabhedasikkhāpadaṃ/saṅghabhedasikkhāpadaṃ.html
bhedānuvattakasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/bhedānuvattakasikkhāpadaṃ/bhedānuvattakasikkhāpadaṃ.html
dubbacasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/dubbacasikkhāpadaṃ/dubbacasikkhāpadaṃ.html
kuladūsakasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/kuladūsakasikkhāpadaṃ/kuladūsakasikkhāpadaṃ.html
saṅghādisesuddeso	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/saṅghādisesuddeso/saṅghādisesuddeso.html
aniyatuddeso	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/aniyatuddeso/aniyatuddeso.html
paṭhamaaniyatasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/paṭhamaaniyatasikkhāpadaṃ/paṭhamaaniyatasikkhāpadaṃ.html
dutiyāniyatasikkhāpada	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/dutiyāniyatasikkhāpada/dutiyāniyatasikkhāpada.html
nissaggiyapācittiyā	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/nissaggiyapācittiyā/nissaggiyapācittiyā.html
kathinasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/kathinasikkhāpadaṃ/kathinasikkhāpadaṃ.html
udositasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/udositasikkhāpadaṃ/udositasikkhāpadaṃ.html
akālacīvarasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/akālacīvarasikkhāpadaṃ/akālacīvarasikkhāpadaṃ.html
purāṇacīvarasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/purāṇacīvarasikkhāpadaṃ/purāṇacīvarasikkhāpadaṃ.html
cīvarapaṭiggahaṇasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/cīvarapaṭiggahaṇasikkhāpadaṃ/cīvarapaṭiggahaṇasikkhāpadaṃ.html
aññātakaviññattisikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/aññātakaviññattisikkhāpadaṃ/aññātakaviññattisikkhāpadaṃ.html
tatuttarisikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/tatuttarisikkhāpadaṃ/tatuttarisikkhāpadaṃ.html
paṭhamaupakkhaṭasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/paṭhamaupakkhaṭasikkhāpadaṃ/paṭhamaupakkhaṭasikkhāpadaṃ.html
dutiyaupakkhaṭasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/dutiyaupakkhaṭasikkhāpadaṃ/dutiyaupakkhaṭasikkhāpadaṃ.html
rājasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/rājasikkhāpadaṃ/rājasikkhāpadaṃ.html
kosiyasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/kosiyasikkhāpadaṃ/kosiyasikkhāpadaṃ.html
suddhakāḷakasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/suddhakāḷakasikkhāpadaṃ/suddhakāḷakasikkhāpadaṃ.html
dvebhāgasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/dvebhāgasikkhāpadaṃ/dvebhāgasikkhāpadaṃ.html
chabbassasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/chabbassasikkhāpadaṃ/chabbassasikkhāpadaṃ.html
nisīdanasanthatasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/nisīdanasanthatasikkhāpadaṃ/nisīdanasanthatasikkhāpadaṃ.html
eḷakalomasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/eḷakalomasikkhāpadaṃ/eḷakalomasikkhāpadaṃ.html
eḷakalomadhovāpanasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/eḷakalomadhovāpanasikkhāpadaṃ/eḷakalomadhovāpanasikkhāpadaṃ.html
rūpiyasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/rūpiyasikkhāpadaṃ/rūpiyasikkhāpadaṃ.html
rūpiyasaṃvohārasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/rūpiyasaṃvohārasikkhāpadaṃ/rūpiyasaṃvohārasikkhāpadaṃ.html
kayavikkayasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/kayavikkayasikkhāpadaṃ/kayavikkayasikkhāpadaṃ.html
pattasikkhāpadaṃ	https://sasanarakkha.github.io/study-tools/bhikkhu_patimokkha/pattasikkhāpadaṃ/pattasikkhāpadaṃ.html
