"id"	"class_anki"	"sbs_class"	"sbs_category"	"sbs_patimokkha"	"sbs_meaning"	"sbs_notes"	"sbs_source_1"	"sbs_sutta_1"	"sbs_example_1"	"sbs_chant_pali_1"	"sbs_chant_eng_1"	"sbs_chapter_1"	"sbs_source_2"	"sbs_sutta_2"	"sbs_example_2"	"sbs_chant_pali_2"	"sbs_chant_eng_2"	"sbs_chapter_2"	"sbs_source_3"	"sbs_sutta_3"	"sbs_example_3"	"sbs_chant_pali_3"	"sbs_chant_eng_3"	"sbs_chapter_3"	"sbs_source_4"	"sbs_sutta_4"	"sbs_example_4"	"sbs_chant_pali_4"	"sbs_chant_eng_4"	"sbs_chapter_4"	"sbs_index"
"2"	""	""	""	""	""	""	"DN22.2"	"mahāsatipaṭṭhānasuttaṃ"	"so sato'va <b>a</b>ssasati sato'va passasati"	""	""	""	"DN19.15"	"mahāgovindasuttaṃ"	"atha kho bho mahāgovindo brāhmaṇo tassa satt'āhassa accayena kesamassuṃ ohāretvā kāsāyāni vatthāni <b>a</b>cchādetvā agārasmā anagāriyaṃ pabbaji"	""	""	""	"VIN1.2.1"	"sukkavissaṭṭhisikkhāpadaṃ"	"saṅghādiseso'ti saṅgho'va tassā āpattiyā parivāsaṃ deti, mūlāya paṭikassati, mānattaṃ deti, <b>a</b>bbheti, na sambahulā, na ekapuggalo. tena vuccati, saṅghādiseso'ti."	""	""	""	""	""	""	""	""	""	""
"3"	""	""	""	""	""	""	"SNP16"	"maṅgalasuttaṃ
cūḷavaggo 4"	"upasaṅkamitvā bhagavantaṃ abhivādetvā ekam'antaṃ <b>a</b>ṭṭhāsi. ekam'antaṃ ṭhitā kho sā devatā bhagavantaṃ gāthāya ajjhabhāsi"	""	""	""	"SN1.13"	"natthiputtasamasuttaṃ"	"sāvatthinidānaṃ. ekam'antaṃ ṭhitā kho sā devatā bhagavato santike imaṃ gāthaṃ <b>a</b>bhāsi."	""	""	""	"MN43"	"mahāvedallasuttaṃ"	"te ca h'āvuso, āyusaṅkhārā <b>a</b>bhaviṃsu te vedaniyā dhammā, na'y'idaṃ saññāvedayitanirodhaṃ samāpannassa bhikkhuno vuṭṭhānaṃ paññāyetha."	""	""	""	""	""	""	""	""	""	""
"4"	""	""	""	""	""	""	"DN22.18"	"mahāsatipaṭṭhānasuttaṃ"	"sukhassa ca pahānā dukkhassa ca pahānā, pubb'eva somanassadomanassānaṃ atthaṅ'gamā, <b>adukkham'asukhaṃ</b> upekkhāsatipārisuddhiṃ catutthaṃ jhānaṃ upasampajja viharati."	""	""	""	"AN3.112"	"paṭhamanidānasuttaṃ"	"yaṃ, bhikkhave, <b>a</b>dosapakataṃ kammaṃ <b>a</b>dosajaṃ <b>a</b>dosanidānaṃ <b>a</b>dosasamudayaṃ, taṃ kammaṃ kusalaṃ taṃ kammaṃ anavajjaṃ"	""	""	""	"UD45"	"uposathasuttaṃ"	"addasā kho āyasmā mahāmoggallāno taṃ puggalaṃ dussīlaṃ pāpadhammaṃ <b>a</b>suciṃ saṅkassarasamācāraṃ paṭicchannakamm'antaṃ <b>a</b>samaṇaṃ samaṇapaṭiññaṃ <b>a</b>brahmacāriṃ brahmacāripaṭiññaṃ antopūtiṃ avassutaṃ kasambujātaṃ majjhe bhikkhusaṅghassa nisinnaṃ"	""	""	""	""	""	""	""	""	""	""
"6"	""	""	""	""	""	""	"DN16.1"	"mahāparinibbānasuttaṃ"	"ahaṃ h'ime vajjī evaṃmahiddhike evaṃmah'ānubhāve ucchecchāmi [ucchejjāmi (syā. pī.), ucchijjāmi (ka.)] vajjī, vināsessāmi vajjī, anayabyasanaṃ āpādessāmi vajjī'ti [āpādessāmi vajjī'ti (sabbattha) <b>a</b>. ni. 7.22 passitabbaṃ] ."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	""	"11"	""	""	""	""	"DHP408"	"brāhmaṇavaggo"	"<b>akakkasaṃ</b> viññāpaniṃ,
giraṃ saccam'udīraye,
yāya n'ābhisaje kañci,
tam'ahaṃ brūmi brāhmaṇaṃ."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	""	"5"	""	""	""	""	"AN4.184"	"abhayasuttaṃ"	"puna caparaṃ, brāhmaṇa, idh'ekacco <b>akaṅkhī</b> hoti avicikicchī niṭṭhaṅ'gato saddhamme. tam'enaṃ aññataro gāḷho rog'ātaṅko phusati. tassa aññatarena gāḷhena rog'ātaṅkena phuṭṭhassa evaṃ hoti, <b>akaṅkhī</b> vat'amhi avicikicchī niṭṭhaṅ'gato saddhamme'ti."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"11"	""	"10"	""	""	""	""	"DHP390"	"brāhmaṇavaggo"	"na brāhmaṇass'etad<b>akiñci</b> seyyo,
yadā nisedho manaso piyehi,
yato yato hiṃsamano nivattati,
tato tato sammati'm'eva dukkhaṃ."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"12"	""	"14"	""	""	""	""	"AN3.68"	"kathāvatthusuttaṃ"	"kathāsampayogena, bhikkhave, puggalo veditabbo yadi vā kaccho yadi vā <b>akaccho</b>'ti."	""	""	""	"AN3.68"	"kathāvatthusuttaṃ"	"sac'āyaṃ, bhikkhave, puggalo pañhaṃ puṭṭho samāno aññen'aññaṃ paṭicarati, bahiddhā kathaṃ apanāmeti, kopañ'ca dosañ'ca appaccayañ'ca pātukaroti, evaṃ sant'āyaṃ, bhikkhave, puggalo <b>akaccho</b> hoti."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"13"	""	"11"	""	"pat"	""	""	"VIN PAT PC 69"	"ukkhittasambhogasikkhāpadaṃ"	"yo pana bhikkhu jānaṃ tathāvādinā bhikkhunā <b>akaṭ</b>'ānudhammena taṃ diṭṭhiṃ appaṭinissaṭṭhena saddhiṃ sambhuñjeyya vā saṃvaseyya vā saha vā seyyaṃ kappeyya, pācittiyaṃ."	""	""	""	"VIN2.5.7.9"	"ukkhittasambhogasikkhāpadaṃ"	"<b>akaṭ</b>'ānudhammo nāma ukkhitto anosārito."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"18"	""	"19"	""	"pat"	""	""	"VIN PAT PC 69"	"ukkhittasambhogasikkhāpadaṃ"	"yo pana bhikkhu jānaṃ tathāvādinā bhikkhunā <b>akaṭ'ānudhammena</b> taṃ diṭṭhiṃ appaṭinissaṭṭhena saddhiṃ sambhuñjeyya vā saṃvaseyya vā saha vā seyyaṃ kappeyya, pācittiyaṃ."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"18"	"11"	""	""	""	""	"DHP314"	"nirayavaggo"	"<b>akataṃ</b> dukkaṭaṃ seyyo,
pacchā tappati dukkaṭaṃ,
katañ'ca sukataṃ seyyo,
yaṃ katvā n'ānutappati."	"Tāyana-gāthā"	"On Protection"	"Verses"	""	""	""	""	""	""	"AN5.140"	"sotasuttaṃ"	"idha, bhikkhave, rañño nāgo yam'enaṃ hatthidammasārathi kāraṇaṃ kāreti, yadi vā katapubbaṃ yadi vā <b>akata</b>pubbaṃ, taṃ aṭṭhiṃ katvā manasi katvā sabbaṃ cetasā samannāharitvā ohitasoto suṇāti."	""	""	""	""	""	""	""	""	""	"15"
"33"	"11"	"11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"UD73"	"tatiya nibbāna paṭisaṃyuttasuttaṃ"	"atthi, bhikkhave, ajātaṃ abhūtaṃ <b>akataṃ</b> asaṅkhataṃ"	""	""	""	""	""	""	""	""	""	""
"34"	""	"11"	""	""	""	""	"DHP50"	"pupphavaggo"	"na paresaṃ vilomāni,
na paresaṃ kata-<b>akataṃ</b>,
attano'va avekkheyya,
katāni <b>akatāni</b> ca."	""	""	""	"DHP314"	"nirayavaggo"	"<b>akataṃ</b> dukkaṭaṃ seyyo, pacchā tappati dukkaṭaṃ,
katañ'ca sukataṃ seyyo, yaṃ katvā n'ānutappati."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	""	"20"	""	""	""	""	"AN4.184"	"abhayasuttaṃ"	"puna caparaṃ, brāhmaṇa, idh'ekacco <b>akatakalyāṇo</b> hoti akatakusalo akatabhīruttāṇo katapāpo kataluddo katakibbiso. tam'enaṃ aññataro gāḷho rog'ātaṅko phusati."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	""	"20"	""	""	""	""	"AN4.184"	"abhayasuttaṃ"	"puna caparaṃ, brāhmaṇa, idh'ekacco akatapāpo hoti akataluddo <b>akatakibbiso</b> katakalyāṇo katakusalo katabhīruttāṇo. tam'enaṃ aññataro gāḷho rog'ātaṅko phusati."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	""	"20"	""	""	""	""	"AN4.184"	"abhayasuttaṃ"	"puna caparaṃ, brāhmaṇa, idh'ekacco akatakalyāṇo hoti <b>akatakusalo</b> akatabhīruttāṇo katapāpo kataluddo katakibbiso. tam'enaṃ aññataro gāḷho rog'ātaṅko phusati."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"46"	""	"6"	""	""	""	""	"DHP97"	"arahantavaggo"	"assaddho <b>akataññū</b> ca,
sandhicchedo ca yo naro,
hat'āvakāso vant'āso,
sa ve uttamaporiso."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"47"	""	"6"	""	""	""	""	"DHP383"	"brāhmaṇavaggo"	"chinda sotaṃ parakkamma,
kāme panuda brāhmaṇa,
saṅkhārānaṃ khayaṃ ñatvā,
<b>akataññū</b>'si brāhmaṇa."	""	""	""	"DHP97"	"arahantavaggo"	"assaddho <b>akataññū</b> ca,
sandhicchedo ca yo naro,
hat'āvakāso vant'āso,
sa ve uttamaporiso."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	""	"20"	""	""	""	""	"AN4.184"	"abhayasuttaṃ"	"puna caparaṃ, brāhmaṇa, idh'ekacco <b>akatapāpo</b> hoti akataluddo akatakibbiso katakalyāṇo katakusalo katabhīruttāṇo. tam'enaṃ aññataro gāḷho rog'ātaṅko phusati."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"54"	"18"	"19"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"AN5.140"	"sotasuttaṃ"	"idha, bhikkhave, rañño nāgo yam'enaṃ hatthidammasārathi kāraṇaṃ kāreti, yadi vā katapubbaṃ yadi vā <b>akatapubbaṃ</b>, taṃ aṭṭhiṃ katvā manasi katvā sabbaṃ cetasā samannāharitvā ohitasoto suṇāti. evaṃ kho, bhikkhave, rañño nāgo sotā hoti."	""	""	""	""	""	""	""	""	""	""
"55"	""	"20"	""	""	""	""	"AN4.184"	"abhayasuttaṃ"	"puna caparaṃ, brāhmaṇa, idh'ekacco akatakalyāṇo hoti akatakusalo <b>akatabhīruttāṇo</b> katapāpo kataluddo katakibbiso. tam'enaṃ aññataro gāḷho rog'ātaṅko phusati."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
