index	pali_chant	english_chant	chapter	link
1	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem	https://sasanarakkha.github.io/study-tools/6-pali-class/sbs-per-analysis/per-01-dedication-of-offerings/
2	Pubbabhāga-namakāra	Preliminary Homage	Homage to the Triple Gem	https://sasanarakkha.github.io/study-tools/6-pali-class/sbs-per-analysis/per-02-preliminary-homage/
3	Buddh'ābhitthuti	Homage to the Buddha	Homage to the Triple Gem	https://sasanarakkha.github.io/study-tools/6-pali-class/sbs-per-analysis/per-03-homage-to-the-buddha/
4	Dhamm'ābhitthuti	Homage to the Dhamma	Homage to the Triple Gem	https://sasanarakkha.github.io/study-tools/6-pali-class/sbs-per-analysis/per-04-homage-to-the-dhamma/
5	Saṅgh'ābhitthuti	Homage to the Saṅgha	Homage to the Triple Gem	https://sasanarakkha.github.io/study-tools/6-pali-class/sbs-per-analysis/per-05-homage-to-the-sangha/
6	Ratanattaya-paṇāma	Salutation to the Triple Gem	Homage to the Triple Gem	https://sasanarakkha.github.io/study-tools/6-pali-class/sbs-per-analysis/per-06-salutation-to-the-triple-gem/
7	Buddha-paṭhama-bhāsita	The Buddha's First Exclamation	Verses	https://sasanarakkha.github.io/study-tools/6-pali-class/sbs-per-analysis/per-07-the-buddhas-first-exclamation/
8	Dhamma-gārava	Respect for the Dhamma	Verses	https://sasanarakkha.github.io/study-tools/6-pali-class/sbs-per-analysis/per-08-respect-for-the-dhamma/
9	Khem'ākhema-saraṇa-gamana	Going to True and False Refuges	Verses	https://sasanarakkha.github.io/study-tools/6-pali-class/sbs-per-analysis/per-09-going-to-true-and-false-refuges/
10	Ovāda-pāṭimokkha-gāthā	The Pāṭimokkha Exhortation	Verses	https://sasanarakkha.github.io/study-tools/6-pali-class/sbs-per-analysis/per-10-the-patimokkha-exhortation/
11	Ti-lakkhaṇā	The Three Characteristics	Verses	https://sasanarakkha.github.io/study-tools/6-pali-class/sbs-per-analysis/per-11-the-three-characteristics/
12	Bhārā	The Burdens	Verses	https://sasanarakkha.github.io/study-tools/6-pali-class/sbs-per-analysis/per-12-the-burdens/
13	Raṭṭhapāla-thera-gāthā	From the Elder Raṭṭhapāla	Verses	https://sasanarakkha.github.io/study-tools/6-pali-class/sbs-per-analysis/per-13-from-the-elder-ratthapala/
14	Pārāpariya-thera-gāthā	From the Elder Pārāpariya	Verses	https://sasanarakkha.github.io/study-tools/6-pali-class/sbs-per-analysis/per-14-from-the-elder-parapariya/
15	Tāyana-gāthā	On Protection	Verses	https://sasanarakkha.github.io/study-tools/6-pali-class/sbs-per-analysis/per-15-on-protection/
16	Pakiṇṇaka-gāthā	Miscellaneous Verses	Verses	https://sasanarakkha.github.io/study-tools/6-pali-class/sbs-per-analysis/per-16-miscellaneous-verses/
17	Bhadd'eka-ratta	A single Excellent Night	Verses	https://sasanarakkha.github.io/study-tools/6-pali-class/sbs-per-analysis/per-17-a-single-excellent-night/
18	Dhamma-cakkappavattana	Setting in Motion The Wheel of Dhamma	Teachings	https://sasanarakkha.github.io/study-tools/6-pali-class/sbs-per-analysis/per-18-setting-in-motion-the-wheel-of-dhamma/
19	Anupubba-sikkhā	The Gradual Training	Teachings	https://sasanarakkha.github.io/study-tools/6-pali-class/sbs-per-analysis/per-19-anupubba-sikkha/
20	Bodhipakkhiya-dhammā	Requisites for Awakening	Teachings	https://sasanarakkha.github.io/study-tools/6-pali-class/sbs-per-analysis/per-20-requisites-for-awakening/
21	Satta-sambojjhaṅgā	The Seven Factors of Awakening	Teachings	https://sasanarakkha.github.io/study-tools/6-pali-class/sbs-per-analysis/per-21-the-seven-factors-of-awakening/
22	Ariy'aṭṭhaṅgika-magga	The Noble Eightfold Path	Teachings	https://sasanarakkha.github.io/study-tools/6-pali-class/sbs-per-analysis/per-22-the-noble-eightfold-path/
23	Ānāpānassati	Mindfulness of Breathing	Teachings	https://sasanarakkha.github.io/study-tools/6-pali-class/sbs-per-analysis/per-23-mindfulness-of-breathing/
24	Paṭicca-samuppāda	Dependent Origination	Teachings	https://sasanarakkha.github.io/study-tools/6-pali-class/sbs-per-analysis/per-24-dependent-origination/
25	Saṅkhitta-dhamma	The Dhamma in Brief	Teachings	https://sasanarakkha.github.io/study-tools/6-pali-class/sbs-per-analysis/per-25-the-dhamma-in-brief/
26	Cattāro-mahāpadesā	The Four Great References	Teachings	https://sasanarakkha.github.io/study-tools/6-pali-class/sbs-per-analysis/per-26-the-four-great-references/
27	Cha-sāraṇīya-dhammā	Principles of Cordiality	Teachings	https://sasanarakkha.github.io/study-tools/6-pali-class/sbs-per-analysis/per-27-principles-of-cordiality/
28	Aparihāniya-dhammā	Principles of Non-Decline	Teachings	https://sasanarakkha.github.io/study-tools/6-pali-class/sbs-per-analysis/per-28-principles-of-non-decline/
29	Dhamma-pahaṃsāna	Striving According to the Dhamma	Teachings	https://sasanarakkha.github.io/study-tools/6-pali-class/sbs-per-analysis/per-29-striving-according-to-the-dhamma/
30	Buddha-pacchima-ovāda	The Buddha's Final Instruction	Teachings	https://sasanarakkha.github.io/study-tools/6-pali-class/sbs-per-analysis/per-30-the-buddhas-final-instruction/
31	Cattāro-parikkhārā	The Four Requisites	Reflections	https://sasanarakkha.github.io/study-tools/6-pali-class/sbs-per-analysis/per-31-the-four-requisites/
32	Āhāra-paṭikūla-paccavekkhaṇa-pāṭho	The Repulsiveness of Food	Reflections	https://sasanarakkha.github.io/study-tools/6-pali-class/sbs-per-analysis/per-32-the-repulsiveness-of-food/
