pos	examples
abs	சென்ற பிறகு, பூத்த பிறகு, சிந்தித்த பிறகு, உணர்ந்த பிறகு, தூங்கிய பிறகு
adj	வேகமான, சுறுசுறுப்பான, பசுமையான, குளிர்ந்த, இதமான
aor	சென்றான், ஓடினான், தப்பித்தான், கோபப்பட்டான், அழுதான்
fem	கிழவி, அக்கா, அம்மா, அண்ணி, தங்கை
ger	நடப்பது, ஓடுவது, வளர்வது, செழிப்பது, நினைப்பது
ind	விரைவாக, திடீரென்று, எதிர்பாராமல், எங்கும், வெளியே
inf	செல்வதற்கு, ஓடுவதற்கு, மலர்வதற்கு, வளர்வதற்கு, அறிவதற்கு
masc	கிழவன், அண்ணன், அப்பா, மாமா, தம்பி
nt	வாகனம், தேர், சக்கரம், காடு, நீர்
pp	கடக்கப்பட்ட, பயணிக்கப்பட்ட, வளர்க்கப்பட்ட, வெட்டப்பட்ட, உண்ணப்பட்ட
pr	செல்கிறான், ஓடுகிறான், பயணிக்கிறான், ஒளிர்கிறது, பாய்கிறது
pron	எவன், எவள், எவர்கள், இது, அது
prp	செல்கின்ற, ஓடுகின்ற, பாய்கின்ற, வீசுகின்ற, படிக்கின்ற
ptp	கடக்கப்பட வேண்டும், செல்லப்படலாம், பயிரிடப்பட வேண்டும், அறியப்பட வேண்டும், மூடப்பட வேண்டும்
